plot_name,plot_inclusion_status,source_label,source_corpus,papers_contributed,tests_or_rows_contributed,why,why_detail,status_label,fields,source_kind,published_scope,median_D,median_N,display_label,source_key,citation_key,corpus_what_it_is,plot_rows_made_in,known_paper_units,known_test_rows,rows_with_direct_journal_provenance,rows_with_paper_grouping,rows_with_paper_level_dn,rows_with_explicit_main_selector,rows_with_implemented_paper_collapse,rows_currently_plotted,what_it_is_why_possible_candidate,confirmed_fields,why_in_out,n_obs_in
Plot 2,included,Havránek gasoline-income meta-analysis,havranek_gasoline_income,50,286,current published-paper figure includes this source corpus,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,2.848556676761537,18.0,Havránek gasoline-income meta-analysis,havranek_gasoline_income,havranekGasolineIncomeData,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,50,50,286,0,50,50,0,50,50,"Published-source estimates from the Havránek gasoline-income meta-analysis. Possible candidate because observations and effect estimates are present, but the rows are meta-analysis mediated rather than direct paper-main results.","Known: 50 paper units, 286 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (50); paper D/N: yes (50); main selector: no.","Included: meta-analysis-mediated. Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",50
Plot 2,included,academic nudge journals,dellavigna_linos_2022,43,106,current published-paper figure includes this source corpus,"Rows are intervention/treatment-arm effects with outcome and arm fields; mostsig can identify the most significant arm, not necessarily the main prespecified result.",treatment-arm selected but not primary-outcome flagged,economics_nudge,nudge_unit_trial_report; published_original_rct_journal,mixed_published_unpublished_reports; published_academic_journals,0.0662282229967441,4007.0,academic nudge journals,dellavigna_linos_2022,dellavigna2022,nudge unit trial report; published original rct journal; scope: mixed published unpublished reports; published academic journals; field(s): economics nudge.,43,43,106,43,43,43,0,43,43,"Academic nudge RCT rows from DellaVigna/Linos. Possible candidate because journal-published treatment-arm effects have outcome and arm fields; the strongest available selector is most-significant arm, not prespecified primary outcome.","Known: 43 paper units, 106 test/effect rows. Confirmed: journal provenance: yes (43); paper grouping: yes (43); paper D/N: yes (43); main selector: no.","Included: treatment-arm selected but not primary-outcome flagged. Rows are intervention/treatment-arm effects with outcome and arm fields; mostsig can identify the most significant arm, not necessarily the main prespecified result.",43
Plot 2,included,Havránek EIS,havranek_eis,33,566,current published-paper figure includes this source corpus,"Rows are source estimates curated for meta-analyses; some publication flags exist, but not paper-main-result flags.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,0.2390169957994546,239.0,Havránek EIS,havranek_eis,havranek2015,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,33,169,2717,0,169,169,0,33,33,"Economics source estimates from the Havránek EIS/meta-analysis.cz series. Possible candidate because D/N can be reconstructed for published estimates, but rows are meta-analysis mediated and not paper-main-result selected.","Known: 169 paper units, 2,717 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (169); paper D/N: yes (169); main selector: no.","Included: meta-analysis-mediated. Rows are source estimates curated for meta-analyses; some publication flags exist, but not paper-main-result flags.",33
Plot 2,included,Havránek substitution meta-analysis,havranek_substitution,33,566,current published-paper figure includes this source corpus,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,0.2390169957994546,239.0,Havránek substitution meta-analysis,havranek_substitution,havranek2015,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,33,33,566,0,33,33,0,33,33,"Economics source estimates from a Havránek substitution meta-analysis. Possible candidate because publication flags and observation counts exist, but rows are meta-analysis mediated.","Known: 33 paper units, 566 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (33); paper D/N: yes (33); main selector: no.","Included: meta-analysis-mediated. Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",33
Plot 2,included,Havránek Armington meta-analysis,havranek_armington,24,1383,current published-paper figure includes this source corpus,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,1.3368528808361821,20.5,Havránek Armington meta-analysis,havranek_armington,havranekArmingtonData,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,24,24,1383,0,24,24,0,24,24,"Economics source estimates from the Havránek Armington meta-analysis. Possible candidate because publication flags and observation counts exist, but rows are meta-analysis mediated.","Known: 24 paper units, 1,383 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (24); paper D/N: yes (24); main selector: no.","Included: meta-analysis-mediated. Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",24
Plot 2,included,antidepressant journal rows,turner_antidepressants_2022,23,35,current published-paper figure includes this source corpus,Rows are trial antidepressant efficacy effects; journal rows can be compared to FDA/regulatory rows.,clean main efficacy calibration,medicine_psychiatry,journal_publication,published_journal,0.271363,383.5,antidepressant journal rows,turner_antidepressants_2022,turner2008,journal publication; scope: published journal; field(s): medicine psychiatry.,23,23,35,23,23,23,23,23,23,"Published antidepressant efficacy rows from Turner-style journal/regulatory comparisons. Possible candidate because journal-side trial efficacy effects are clean, small, and D/N-ready.","Known: 23 paper units, 35 test/effect rows. Confirmed: journal provenance: yes (23); paper grouping: yes (23); paper D/N: yes (23); main selector: yes (23).",Included: clean main efficacy calibration. Rows are trial antidepressant efficacy effects; journal rows can be compared to FDA/regulatory rows.,23
Plot 2,included,RPCB cancer biology original effects,rpcb_cancer_biology,20,135,current published-paper figure includes this source corpus,Original published-paper effects selected for replication; close to key-claim effects but small and replication-project selected rather than broad journal-sampled.,project-selected key effects,preclinical_cancer_biology,published_original_preclinical,original_published_vs_registered_replication,2.281306,11.25,RPCB cancer biology original effects,rpcb_cancer_biology,errington2021,published original preclinical; scope: original published vs registered replication; field(s): preclinical cancer biology.,20,20,135,20,20,20,20,20,20,"Original published preclinical cancer-biology effects selected for RPCB replication. Possible candidate because they are key original claims with D/N, but they are project-selected rather than broad journal-sampled.","Known: 20 paper units, 135 test/effect rows. Confirmed: journal provenance: yes (20); paper grouping: yes (20); paper D/N: yes (20); main selector: yes (20).",Included: project-selected key effects. Original published-paper effects selected for replication; close to key-claim effects but small and replication-project selected rather than broad journal-sampled.,20
Plot 2,included,Havránek Frisch extensive-margin meta-analysis,havranek_frisch_extensive,16,367,current published-paper figure includes this source corpus,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,0.15860027509609526,13668.25,Havránek Frisch extensive-margin meta-analysis,havranek_frisch_extensive,havranekFrischData,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,16,16,367,0,16,16,0,16,16,"Economics source estimates from the Havránek Frisch extensive-margin meta-analysis. Possible candidate because publication flags and observation counts exist, but rows are meta-analysis mediated.","Known: 16 paper units, 367 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (16); paper D/N: yes (16); main selector: no.","Included: meta-analysis-mediated. Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",16
Plot 2,included,Gechert/Havránek sigma meta-analysis,havranek_sigma,6,51,current published-paper figure includes this source corpus,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,1.3539707007225514,55.0,Gechert/Havránek sigma meta-analysis,havranek_sigma,gechert2022,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,6,6,51,0,6,6,0,6,6,"Economics source estimates from the Gechert/Havránek sigma meta-analysis. Possible candidate because publication flags and observation counts exist, but rows are meta-analysis mediated.","Known: 6 paper units, 51 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (6); paper D/N: yes (6); main selector: no.","Included: meta-analysis-mediated. Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",6
Plot 2,included,Havránek Frisch intensive-margin meta-analysis,havranek_frisch_intensive,4,36,current published-paper figure includes this source corpus,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",meta-analysis-mediated,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,0.0683575364428284,13218.75,Havránek Frisch intensive-margin meta-analysis,havranek_frisch_intensive,havranekFrischData,economics meta analysis primary estimates; scope: published flag when available; field(s): economics.,4,4,36,0,4,4,0,4,4,"Economics source estimates from the Havránek Frisch intensive-margin meta-analysis. Possible candidate because publication flags and observation counts exist, but rows are meta-analysis mediated.","Known: 4 paper units, 36 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (4); paper D/N: yes (4); main selector: no.","Included: meta-analysis-mediated. Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",4
Plot 2,not_included,AACT x PubMed primary outcomes,aact_pubmed_primary_outcomes,0,0,not started,Potential large medical proxy: primary registry outcome rows linked to PMIDs; not journal-extracted article results and registry-publication disagreements are expected.,not started,,,,,,AACT x PubMed primary outcomes,aact_pubmed_primary_outcomes,du2024,not started,0,,,0,0,0,0,0,0,"AACT/PubMed registered-primary-outcome bridge. Possible candidate because registry primary outcomes can identify focal medical endpoints, but this is not yet a journal-extracted article-result table.",Known: source count not confirmed locally. Confirmed: journal provenance: no; paper grouping: no; paper D/N: no; main selector: no.,Not included: not started. Potential large medical proxy: primary registry outcome rows linked to PMIDs; not journal-extracted article results and registry-publication disagreements are expected.,0
Plot 2,not_included,Aczel negative-claim t-test comparator,aczel_2018_negative_claim_ttests,30,62,"local D/N comparator, excluded by policy","Public Aczel et al. null-hypothesis support audit yields 62 usable t-test D/N rows across 30 paper units after applying the authors' strict analyzable-subset rule. It is not included because the selection rule targets negative or nonsignificant claims, not focal published-paper endpoints.",comparator-only negative-claim audit,psychology,published_article_negative_claim_ttest,sampled_psychology_articles_with_negative_abstract_claims,0.10966074334156105,54.5,Aczel negative-claim t-test comparator,aczel_2018_negative_claim_ttests,,comparator-only negative-claim audit,0,30,62,30,30,30,0,30,0,Aczel et al. null-hypothesis/negative-claim psychology audit. Possible candidate because the public table contains published article t tests with recoverable D/N; the caveat is that rows are selected from negative or nonsignificant claims rather than focal published claims.,"Known: 30 paper units, 62 test/effect rows. Confirmed: journal provenance: yes (30); paper grouping: yes (30); paper D/N: yes (30); main selector: no.","Not included: comparator-only negative-claim audit. Public Aczel et al. null-hypothesis support audit yields 62 usable t-test D/N rows across 30 paper units after applying the authors' strict analyzable-subset rule. It is not included because the selection rule targets negative or nonsignificant claims, not focal published-paper endpoints.",0
Plot 2,not_included,ArelBundock political science via BEAR,arelbundock_political_science_bear,0,0,meta-analysis-mediated,"Rows come through peer-reviewed meta-analyses; underlying source rows may be journals, working papers, or reports and no main-result flag exists.",meta-analysis-mediated,,,,,,ArelBundock political science via BEAR,arelbundock_political_science_bear,arelbundock2026underpowered,meta-analysis-mediated,0,,,0,0,0,0,0,0,"Political-science estimates routed through BEAR/meta-analytic sources. Possible candidate because effects and Ns can exist, but source rows mix journals, reports, and working papers and lack direct main-result flags.",Known: source count not confirmed locally. Confirmed: journal provenance: no; paper grouping: no; paper D/N: no; main selector: no.,"Not included: meta-analysis-mediated. Rows come through peer-reviewed meta-analyses; underlying source rows may be journals, working papers, or reports and no main-result flag exists.",0
Plot 2,not_included,ClinicalTrials.gov registry-results comparator,ctgov_finer_grained_kg,7722,108196,"local D/N comparator, excluded by policy","The finer-grained ClinicalTrials.gov results extraction has primary registry-result D/N proxies for 7,722 trial/outcome units. It is not included because Plot 2 is a published-paper endpoint plot, while these rows are registry results rather than journal-published article endpoints.",registry-results comparator,clinical_trials_registry,registry_results,clinicaltrials_gov_results,0.23291726924744616,231.0,ClinicalTrials.gov registry-results comparator,ctgov_finer_grained_kg,du2024,registry-results comparator,0,7722,108196,0,7722,7722,0,7722,0,"ClinicalTrials.gov registry-results extraction. Possible D/N comparator because registry primary-result rows expose N and p-value-derived effect proxies, but it is registry evidence rather than published-paper endpoints.","Known: 7,722 paper units, 108,196 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (7,722); paper D/N: yes (7,722); main selector: no.","Not included: registry-results comparator. The finer-grained ClinicalTrials.gov results extraction has primary registry-result D/N proxies for 7,722 trial/outcome units. It is not included because Plot 2 is a published-paper endpoint plot, while these rows are registry results rather than journal-published article endpoints.",0
Plot 2,not_included,GWAS Catalog,gwas_catalog,0,0,excluded comparator,Paper-linked curated genome-wide-significant association hits; not sampled article-level journal treatment/results rows.,excluded comparator,,,,,,GWAS Catalog,gwas_catalog,yengo2022,excluded comparator,0,6711,1090919,0,6711,6711,0,0,0,"Curated published genome-wide-significant association hits. Possible candidate for a large D/N surface because sample sizes and effects exist, but it is not a sampled article-level treatment/result corpus.","Known: 6,711 paper units, 1,090,919 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (6,711); paper D/N: yes (6,711); main selector: no.",Not included: excluded comparator. Paper-linked curated genome-wide-significant association hits; not sampled article-level journal treatment/results rows.,0
Plot 2,not_included,Linden random-effect comparator rows,linden_2024_random_effects,158,158,"local D/N comparator, excluded by policy","The Linden random-effect rows cover the same 158 sampled psychology papers as the included focal-effect rows, but they are deliberately non-focal within-paper comparator effects. Plot 2 keeps the author-coded focal effects and excludes these random-effect counterparts.",random-effect comparator from an included source,psychology,published_original_psychology_article_random_effect,random_sample_psychology_articles,0.54,82.0,Linden random-effect comparator rows,linden_2024_random_effects,linden2024publicationBiasPsychology,random-effect comparator from an included source,0,158,158,158,158,158,0,158,0,"Random-effect counterpart from the Linden psychology sample. Possible candidate because it has one random effect per sampled paper with D/N, but it is intentionally held out as a comparator to the focal-effect selection used in Plot 2.","Known: 158 paper units, 158 test/effect rows. Confirmed: journal provenance: yes (158); paper grouping: yes (158); paper D/N: yes (158); main selector: no.","Not included: random-effect comparator from an included source. The Linden random-effect rows cover the same 158 sampled psychology papers as the included focal-effect rows, but they are deliberately non-focal within-paper comparator effects. Plot 2 keeps the author-coded focal effects and excludes these random-effect counterparts.",0
Plot 2,not_included,Olivier 2024 cardiovascular RCTs,olivier_2024_cardio_rcts,0,0,author-request target,344 major cardiovascular RCTs with primary endpoints and 263 superiority effect-size rows reported by article; no public row-level CSV located.,author-request target,,,,,,Olivier 2024 cardiovascular RCTs,olivier_2024_cardio_rcts,olivier2024cardioRcts,author-request target,0,344,,344,344,263,344,0,0,Olivier cardiovascular RCT corpus. Possible candidate because the article reports 344 major cardiovascular RCTs with primary endpoints and 263 superiority effect-size rows; it stays out until a public row-level file or local reconstruction exists.,Known: 344 paper units. Confirmed: journal provenance: yes (344); paper grouping: yes (344); paper D/N: 263/344; main selector: yes (344).,Not included: author-request target. 344 major cardiovascular RCTs with primary endpoints and 263 superiority effect-size rows reported by article; no public row-level CSV located.,0
Plot 2,not_included,Szucs & Ioannidis 2017,szucs_ioannidis_2017,0,0,row-level tests only for now,Published journal test-statistic corpus; no decoded paper grouping yet and no primary/main-result flag.,row-level tests only for now,,,,,,Szucs and Ioannidis test-statistic corpus,szucs_ioannidis_2017,szucs2017,row-level tests only for now,0,0,26796,0,0,0,0,0,0,Szucs/Ioannidis cognitive-neuroscience and psychology test-statistic corpus. Possible candidate because journal test statistics can be converted to D/N; it stays out until paper grouping and main-result selection are decoded.,"Known: 0 paper units, 26,796 test/effect rows. Confirmed: journal provenance: no; paper grouping: no; paper D/N: no; main selector: no.",Not included: row-level tests only for now. Published journal test-statistic corpus; no decoded paper grouping yet and no primary/main-result flag.,0
Plot 2,not_included,statcheck psychology,psychology_statcheck,0,0,not main-result selected,All extractable APA test statistics from journal articles; no primary/main/treatment-result flag.,not main-result selected,,,,,,statcheck psychology corpus,psychology_statcheck,hartgerink2016,not main-result selected,0,13889,,13889,13889,13889,0,0,0,"All extractable APA-style significance tests from psychology journal articles. Possible candidate because it is direct journal text with test statistics and N/df, but it lacks paper-main-result selection.","Known: 13,889 paper units. Confirmed: journal provenance: yes (13,889); paper grouping: yes (13,889); paper D/N: yes (13,889); main selector: no.",Not included: not main-result selected. All extractable APA test statistics from journal articles; no primary/main/treatment-result flag.,0
