plot_name,plot_inclusion_status,source_label,corpus_what_it_is,what_it_is_why_possible_candidate,confirmed_fields,backing_file,rows_considered,rows_preregistered_equivalent,rows_with_public_local_backing,rows_with_extractable_DN,rows_with_non_retracted_source,rows_contributed,rows_left_out_within_source,why,why_in_out,display_label,source_key,citation_key,plot_rows_made_in,rows_currently_included
Plot 3,included,Schäfer/Schwarz 2019 preregistered psychology articles,Preregistered psychology-article key-question effects from the public Schäfer/Schwarz 2019 corpus.,Preregistered psychology-article key-question effects from Schäfer/Schwarz. Possible Plot 3 candidate because the public coded sample separates preregistered from non-preregistered articles and already provides N plus a converted r/d effect for each usable preregistered key effect.,"Known: 93 preregistered coded rows, 89 D/N-ready rows. Confirmed: analytic preregistration flag: yes (93); paper grouping: yes (93); paper D/N: yes (89); support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv,93,93,93,89,93,89,4,"included as preregistered key-question effects with local D/N; support status is not coded, so the plot marks them separately",Included: 89 preregistered key-effect rows enter as support-not-coded preregistered results. The 4 remaining coded rows lack usable positive D/N.,Schäfer/Schwarz preregistered psychology articles,sch_fer_schwarz_2019_preregistered_psychology_articles,schaefer2019meaningfulness,89,89
Plot 3,included,Scheel et al. 2021 preregistered-hypotheses corpus,Registered Reports/preregistered-hypothesis table with a recoverable D/N subset.,Published psychology Registered Reports coded by Scheel et al. as preregistered hypotheses. Possible Plot 3 candidate because each row is an analytically preregistered confirmatory hypothesis and the local appendix table recovers D/N for the extractable subset.,"Known: 71 preregistered hypothesis rows, 32 D/N-ready rows. Confirmed: analytic preregistration: yes (71); support status: yes (32); journal provenance: yes (32); paper D/N: yes (32).",data/derived/paper_tables/table_40_preregistered_hypotheses_scheel_2021_psa_cr001_corpus.csv,71,71,71,32,71,32,39,base preregistered-results corpus already on disk; 32 hypotheses have extractable D/N rows and 39 do not,Included: 32 hypotheses enter. The remaining 39 Scheel rows are real preregistered hypotheses but do not have local D/N rows in the current table.,Registered Reports preregistered-hypotheses corpus,scheel_et_al_2021_preregistered_hypotheses_corpus,scheel2021,32,32
Plot 3,included,SCORE/COS preregistration-indicated original papers,SCORE/COS sampled social-behavioral papers whose original paper IDs are flagged as preregistration-indicated.,"The SCORE/COS claim corpus was rechecked because its OSF manifest includes `orig_prereg-indicated.csv`. That file flags original papers with apparent preregistration, and the existing SCORE D/N parser already reconstructs paper-level D/N for a subset of those papers.","Known: 245 unique SCORE paper IDs marked `prereg=True`, 31 deduplicated paper-level D/N rows. Confirmed: paper-level preregistration indication: yes (245); paper grouping: yes; D/N: yes (31); claim-specific preregistration mapping: no; support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv; data/raw/corpus_candidates/score/orig_prereg-indicated.csv,245,245,245,31,245,31,214,included as a paper-level preregistration-indicated SCORE subset; journal TOP-factor preregistration-policy scores are deliberately ignored,"Included: 31 paper-level rows enter. The remaining 214 preregistration-indicated SCORE paper IDs do not currently have a deduplicated positive D/N row in the local SCORE candidate build. Caveat: the available flag is paper-level, so the table does not assert that every extracted claim was the exact preregistered primary hypothesis.",SCORE/COS preregistration-indicated papers,score_cos_preregistration_indicated_original_papers,tyner2026,31,31
Plot 3,included,PSA-CR002 cognitive reappraisal preregistered hypotheses,Psychological Science Accelerator COVID-19 cognitive-reappraisal project with article-reported preregistered hypothesis rows.,"PSA-CR002 was considered because the article explicitly labels Table 2 as effect sizes and statistics for each preregistered hypothesis, while Table 3 reports the relevant arm sample sizes after preregistered exclusions.",Known: 12 Table 2 preregistered hypothesis rows. Confirmed: analytic preregistration: yes (12); source focal selector: Table 2 preregistered hypothesis rows; reported Cohen's d: yes (12); arm/sample N: yes from Table 3 (12); support status: yes.,Wang et al. 2021 Tables 2-3; DOI 10.1038/s41562-021-01173-x,12,12,12,12,12,12,0,"included because it has explicit preregistered hypothesis rows, reported D, and source-reported arm Ns",Included: 12 preregistered PSA-CR002 Table 2 hypotheses enter. The signs of the reported effects are hypothesis-direction-coded in the article; the plotted D axis uses magnitudes.,PSA-CR002 cognitive reappraisal hypotheses,psa_cr002_cognitive_reappraisal_preregistered_hypotheses,wang2021psacr002,12,12
Plot 3,included,Dorison et al. 2022 PSA-CR001 pooled preregistered rows,Pooled primary preregistered PSA-CR001 confirmatory rows.,PSA-CR001 was a preregistered 52-country COVID-19 framing project. Possible Plot 3 candidate because four primary confirmatory outcomes can be represented as pooled D/N rows rather than as nested country cells.,Known: 4 pooled primary outcomes. Confirmed: analytic preregistration: yes (4); support status: yes (4); pooled N: yes (4); pooled D: yes (4).,data/derived/paper_tables/table_41_added_preregistered_rows_from_psa_cr001_dorison_et_al_2022.csv,4,4,4,4,4,4,0,adds pooled confirmatory preregistered rows that belong in the same comparison layer,Included: the four primary PSA-CR001 confirmatory outcomes enter as pooled rows. Country-level cells stay collapsed here to avoid nested non-independent Plot 3 rows.,PSA-CR001 pooled preregistered rows,dorison_et_al_2022_psa_cr001_pooled_preregistered_rows,dorison2022,4,4
Plot 3,included,ManyBabies 1 infant-directed speech pooled preregistered row,ManyBabies 1 pooled infant-directed-speech versus adult-directed-speech preference project.,ManyBabies 1 was considered because the project page documents a large preregistered many-lab infant study and the AMPPS article reports the pooled primary infant-directed-speech preference effect with N and Cohen's d.,"Known: one pooled primary IDS-versus-ADS effect. Confirmed: preregistered many-lab project: yes; focal pooled primary effect: yes; N: 2,329 babies tested; reported Cohen's d: 0.35; Plot 1 duplicate check: no local ManyBabies 1 pair row found.",ManyBabies 1 project page and ManyBabies Consortium 2020; DOI 10.1177/2515245919900809,1,1,1,1,1,1,0,included as a pooled preregistered many-lab primary result with N and reported D,"Included: one pooled ManyBabies 1 infant-directed-speech preference row enters. Lab, method, age, and language moderator rows are deliberately not added to avoid nested non-independent Plot 3 rows.",ManyBabies 1 IDS pooled row,manybabies_1_infant_directed_speech_pooled_preregistered_row,manyBabies2020Ids,1,1
Plot 3,included,PSA004 true-belief/Gettier pooled preregistered row,Psychological Science Accelerator true-belief/Gettier cross-cultural conceptual-replication project.,"PSA004 was considered because the public PSA project page and Hall et al. article report a pooled preregistered cross-cultural contrast for standard justified true belief versus Gettier-type cases, with N and an odds ratio.","Known: one pooled standard JTB-versus-Gettier project effect. Confirmed: preregistered PSA project: yes; focal pooled effect: yes; N: 4,724; OR: 1.86; D conversion: yes via Chinn log-OR-to-d.",PSA004 project page and Hall et al. 2024; DOI 10.1177/25152459241267902,1,1,1,1,1,1,0,included as a pooled preregistered project effect with N and an OR-to-D conversion,"Included: one pooled PSA004 standard JTB-versus-Gettier row enters. This is related to, but not identical with, the Darrel-vignette PSA004 Plot 1 replication-pair rescue; the source catalog flags the cross-plot overlap risk.",PSA004 true-belief/Gettier pooled row,psa004_true_belief_gettier_pooled_preregistered_row,hall2024psa004Turri,1,1
Plot 3,not_included,ClinicalTrials.gov registry-result D/N comparator,Finer-grained ClinicalTrials.gov results extraction with D/N proxies for registry outcome rows.,ClinicalTrials.gov results were rechecked because they are the largest local preregistered-like bucket: trial records have registered outcomes and the parser recovers N plus p-value/effect-size proxies. A cleaner sub-sidecar now isolates phase-2+ randomized interventional trials with exactly one locally eligible primary two-group row.,"Known locally: broad sidecar has 7,722 trial-median registry rows and 7,722 D/N-ready rows. Cleaner local sub-sidecar has 3,149 phase-2+ one-primary randomized rows. Confirmed: outcome type: yes in raw file; study type/allocation/phase: yes in raw file; N/effect proxy: yes; direct arm-level D: no; protocol/SAP timing audit: no.",data/derived/corpus_candidates/candidate_d_n_papers.csv,7722,3149,7722,7722,7722,0,7722,"not included because this is registry-result evidence, not the current standalone published/preregistered confirmatory-result layer","Not included in strict Plot 3: 7,722 broad D/N rows and 3,149 cleaner one-primary randomized rows are real and local, but the current D is a registry p-value/enrollment proxy and no protocol/SAP pre-measurement audit proves exact analytic prespecification. The cleaner subset remains a named sensitivity sidecar.",ClinicalTrials.gov registry-result D/N comparator,clinicaltrials_gov_registry_result_d_n_comparator,du2024,0,0
Plot 3,not_included,Brodeur et al. 2024 preregistered/PAP economics table tests,"Top-journal economics table-test extraction with row-level preregistration, pre-analysis-plan, and PAP-power flags in the local raw notes.",The Brodeur economics corpus was rechecked because it is the other local source that produces thousands of preregistration-flagged D/N rows: many extracted table tests are from studies marked as preregistered or having a pre-analysis plan.,"Known locally: 10,071 extracted economics test rows, 3,724 D/N-ready rows with preregistration/PAP/PAP-power flags, collapsing to 70 papers. Confirmed: preregistration flag rows: 3,547; pre-analysis-plan flag rows: 2,006; PAP-power flag rows: 1,720; D/N: yes; focal/main-result selector: no; exact test-level PAP mapping: no.",data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,10071,3724,10071,3724,10071,0,3724,not included because these are preregistration/PAP-flagged extracted table tests without a paper-level focal or main-result selector,"Not included: the preregistration/PAP flags are real and account for 3,724 D/N-ready extracted table-test rows, but the flags are not enough to prove that each coefficient/test is the exact prespecified confirmatory hypothesis. No focal/main-result selector is available, so this remains a sensitivity lane rather than strict Plot 3 evidence.",Brodeur preregistered/PAP table tests,brodeur_et_al_2024_preregistered_pap_economics_table_tests,brodeur2020,0,0
Plot 3,not_included,FORRT FReD / Replication Database,Replication Database/FReD original-replication pairs and original-side published target claims.,FReD was rechecked because it is a large replication database and the local clean export contributes many D/N rows to the replication and published-result layers.,Known locally: 843 FReD pair rows in the replication-pair file and 796 original published-target D/N rows in the published corpus. Confirmed: D/N: yes; original-replication pairing: yes; analytic preregistration flag for each source result: no.,data/derived/corpus_candidates/candidate_d_n_papers.csv,843,0,843,843,843,0,843,not included because FReD is a replication-pair database rather than a preregistered-results corpus,Not included: FReD is already represented through Plot 1 pair evidence and Plot 2 original-target published evidence. The clean export does not make those rows standalone preregistered confirmatory results.,FORRT FReD / Replication Database,forrt_fred_replication_database,,0,0
Plot 3,not_included,Schäfer/Schwarz 2019 non-preregistered psychology articles,Matched non-preregistered psychology-article sample from the same Schäfer/Schwarz corpus.,The non-preregistered arm of Schäfer/Schwarz is useful as a within-source comparator because it has the same coded key-question-effect structure as the preregistered sample.,"Known: 900 coded non-preregistered rows, 682 D/N-ready rows. Confirmed: analytic preregistration: no; paper grouping: yes (900); paper D/N: yes (682); support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv,900,0,900,682,900,0,900,not included because these rows are explicitly non-preregistered; they remain a Plot 2 comparator source,"Not included: 682 D/N-ready rows exist and are already eligible for the published-paper endpoint surface, but the rows fail the analytic-preregistration gate for Plot 3.",Schäfer/Schwarz non-preregistered comparator,sch_fer_schwarz_2019_non_preregistered_psychology_articles,schaefer2019meaningfulness,0,0
Plot 3,not_included,FReD archived workflow workbook / OSF Registries queue,Archived FReD workflow workbook with additional converted/N-complete rows absent from the current clean FReD export.,"The FReD archive was rechecked because the freshness report found a possible rescue queue, including OSF Registries, ML1, RRR, Boyce, submissions, and OpenMKT-like sources.","Known locally: 343 converted/N-complete archive rows absent from the current clean export. A follow-up archive scan found 425 validated complete non-excluded rows overall, including 15 rows sourced from OSF Registries and 107 rows with a nonempty replication-preregistration field. Confirmed: N/effect conversion: partial; clean current-export status: no; duplicate/workflow filtering: unresolved; analytic preregistration: mixed/not confirmed.",reports/corpus_candidates/fred_freshness_check_2026-04-27.md,343,0,343,343,343,0,343,"not included because it is an archived workflow artifact, not a deduplicated current source table","Not included: the archive does contain preregistration-linked replication rows, including 15 OSF Registries rows, but they are replication-pair evidence rather than standalone Plot 3 result rows. Promoting them requires duplicate handling against existing FReD, Many Labs, RRR, and OSF-registries rows.",FReD archived workflow rescue queue,fred_archived_workflow_workbook_osf_registries_queue,,0,0
Plot 3,not_included,CliniFact published trial primary-outcome rows,Published clinical-trial reports linked to ClinicalTrials.gov primary outcomes.,"CliniFact was rechecked because these rows are journal-side clinical trial primary-outcome proxies with D/N on disk, so they are closer to published preregistered work than raw registry rows.","Known locally: 339 published trial primary-outcome rows, 339 D/N-ready rows. Confirmed: journal provenance: yes; primary-outcome registry linkage: yes; D/N: yes; article-level analytic preregistration/hypothesis text: not confirmed.",data/derived/corpus_candidates/candidate_d_n_papers.csv,339,0,339,339,339,0,339,not included under the current narrow Plot 3 rule; retained in Plot 2 as published clinical-trial primary-outcome evidence,"Not included here: 339 D/N rows exist and are already represented in the published-paper endpoint surface. The current Plot 3 gate requires explicit analytic preregistered confirmatory rows, not only registry-linked primary outcomes.",CliniFact published trial primary-outcome rows,clinifact_published_trial_primary_outcome_rows,zhang2025clinifact,0,0
Plot 3,not_included,Linden et al. 2024 focal/random psychology sample,Psychology focal/random effect sample with local D/N rows and a preregistered meta-research study artifact.,Linden was rechecked because the raw OSF materials include a preregistration artifact and the parsed focal/random effect rows are D/N-ready.,"Known locally: 158 focal D/N rows and 158 random-effect D/N rows. Confirmed: D/N: yes (316); preregistration applies to the meta-research coding study, not to the sampled article findings.",data/derived/corpus_candidates/candidate_d_n_papers.csv,316,0,316,316,316,0,316,"not included because the preregistration is for the meta-research sampling/extraction study, not for each underlying published article result",Not included: the focal rows remain in the published-result layer and the random rows remain a comparator. The OSF preregistration does not make the sampled source articles analytically preregistered confirmatory results.,Linden focal/random psychology sample,linden_et_al_2024_focal_random_psychology_sample,linden2024publicationBiasPsychology,0,0
Plot 3,not_included,Psychological Science Accelerator replication-pair rows,PSA multi-site replication/generality rows already promoted to Plot 1 where pairable.,"PSA projects looked eligible because they are preregistered, multi-site confirmatory projects. The local repo has PSA-002, PSA-004, and PSA-006 D/N pair rows.","Known locally: 93 PSA D/N pair rows (PSA-002 object orientation, PSA-004 Turri, PSA-006 trolley) in the replication-pair file. Confirmed: preregistered/multi-site status: yes; original and replication D/N: yes; standalone non-pair Plot 3 table: no.",data/derived/replication_pairs/replication_pairs_all_on_hand.csv,93,93,93,93,93,0,93,not included because these rows are original-vs-replication or country-level pair rows already represented in Plot 1,Not included: the PSA pair rows are already part of the replication-pair evidence. PSA-CR001 is the exception because it contributes four pooled preregistered confirmatory outcomes without an original-vs-replication arrow.,PSA replication-pair rows,psychological_science_accelerator_replication_pair_rows,,0,0
Plot 3,not_included,Many Labs 1-5 project-level replication rows,Coordinated Many Labs project-level original-vs-replication rows already represented in Plot 1.,Many Labs 1-5 looked like Plot 3 candidates because the projects are coordinated large-sample replication efforts with preregistered or protocol-locked analyses and local D/N rows.,Known locally: 69 project-level D/N pair rows across Many Labs 1-5 in the replication-pair file. Confirmed: replication protocol status: yes; original and replication D/N: yes; independent single-result Plot 3 table: no.,data/derived/replication_pairs/replication_pairs_all_on_hand.csv,69,69,69,69,69,0,69,"not included because these are already Plot 1 original-vs-replication arrows, not independent preregistered confirmatory-result rows","Not included: local D/N rows exist, but they are already consumed by the replication-pair plot. Adding them here would double-count replication-side evidence unless Plot 3 gets a separate multi-lab-replication lane.",Many Labs 1-5 project-level replication rows,many_labs_1_5_project_level_replication_rows,,0,0
Plot 3,not_included,Registered Replication Reports Plot 1 pair rows,Registered Replication Report rows already normalized as original-vs-replication evidence.,The live RRR rows looked like Plot 3 candidates because they come from preregistered replication reports and have local D/N encodings.,Known locally: 49 RRR/FReD-RRR D/N pair rows in the replication-pair file. Confirmed: preregistered replication status: yes; original and replication D/N: yes; independence from Plot 1: no.,data/derived/replication_pairs/replication_pairs_all_on_hand.csv,49,49,49,49,49,0,49,not included because these rows are direct-replication pair evidence already plotted in Plot 1,"Not included: the rows are real preregistered replication evidence with D/N, but their current role is original-vs-replication comparison. Plot 3 is reserved for standalone preregistered confirmatory result rows.",Registered Replication Reports Plot 1 pair rows,registered_replication_reports_plot_1_pair_rows,,0,0
Plot 3,not_included,Communication privacy preregistered replication corpus,Preregistered three-study communication privacy replication with public data and analysis artifacts.,"The communication privacy corpus was rechecked because it has an explicit preregistration PDF, local cleaned data, and many SEM/path outputs in the replication-pair file.",Known locally: 31 promoted/staged path rows and 8 downloaded source files. Confirmed: preregistration: yes; D/N or path-like rows: yes in Plot 1 context; standalone confirmatory result table for Plot 3: no; metric conversion policy: unresolved.,data/derived/replication_pairs/harvest/staged/communication_privacy_2025__stage.csv,31,31,31,31,31,0,31,not included because those rows currently serve as replication-pair/path evidence and need a separate SEM/path metric policy,"Not included: the preregistered corpus is real and local, but adding the path rows here would mix SEM/path metrics with the D/N confirmatory-result layer and double-count Plot 1-adjacent evidence.",Communication privacy preregistered corpus,communication_privacy_preregistered_replication_corpus,masur2025privacy,0,0
Plot 3,not_included,Protzko et al. 2024 High-Replicability Research project,Preregistered high-replicability project considered as a counter-pattern source.,High-Replicability Research was considered because it was designed as a preregistered counter-pattern source with many planned high-replicability findings.,Known: 48 project findings claimed in the audit trail; 3 local D/N pair rows recovered in the replication-harvest sidecar. Confirmed: analytic preregistration: yes; D/N: partial (3); non-retracted status: no.,documented in moved appendix material,48,48,3,3,0,0,48,considered as a preregistered counter-pattern dataset but excluded because the Nature Human Behaviour paper was retracted,"Not included: the source fails the non-retraction gate, so even locally recovered rows stay out of Plot 3.",High-Replicability Research project,protzko_et_al_2024_high_replicability_research_project,protzko2024highrep,0,0
Plot 3,not_included,Retrieval-extinction rats preregistered replication,Preregistered direct replication attempt of the retrieval-extinction effect in cued fear conditioning in rats.,This source was rechecked because it is explicitly preregistered and the local harvest already promoted three original-vs-replication outcome rows.,Known locally: 3 D/N pair rows. Confirmed: preregistered replication: yes; D/N: yes; independent standalone Plot 3 row family: no.,data/derived/replication_pairs/harvest/staged/retrieval_extinction_rats_2017__stage.csv,3,3,3,3,3,0,3,not included because it is already direct-replication pair evidence rather than a standalone preregistered-result corpus,Not included: the three rows are valid and already handled as original-vs-replication evidence. Plot 3 excludes them to avoid double-counting replication-pair arrows.,Retrieval-extinction rats preregistered replication,retrieval_extinction_rats_preregistered_replication,luyten2017retrievalExtinction,0,0
Plot 3,not_included,Transparent Psi Project / Bem preregistered replication,Preregistered large-sample Bem/psi replication with a local D/N pair row.,The Transparent Psi Project looked eligible because it is explicitly preregistered and the local combined raw data promoted one first-stopping-point D/N row.,Known locally: 1 promoted D/N pair row. Confirmed: preregistered replication: yes; original and replication D/N: yes; standalone confirmatory-result source independent of Plot 1: no.,data/derived/replication_pairs/harvest/promoted/tpp_bem__promoted_pairs.csv,1,1,1,1,1,0,1,not included because it is already a Plot 1 direct-replication row,"Not included: this is a clean preregistered replication row, but its current analytic role is a shrinkage arrow against Bem's original result, not a standalone preregistered-result observation.",Transparent Psi Project / Bem row,transparent_psi_project_bem_preregistered_replication,kekecs2023tpp,0,0
Plot 3,not_included,Nordic trial registration-publication linkage database,"Clinical-trial registration/publication linkage audit with trial IDs, publication status, DOI/PMID, and matching criteria.","The Nordic trial-reporting database looked like the missing large clinical-trial preregistration source because it has thousands of trial-registration to publication links and records whether publications matched the registered design, population, intervention, comparator, and any outcome.","Known locally: 7,461 registry-publication search rows, 5,660 journal-publication rows. Confirmed: trial registration IDs: yes; publication DOI/PMID: yes where found; outcome/effect/N fields for D conversion: no.",data/raw/publication_bias_direct/nordic_trial_reporting/nordic-trial-reporting/data/4-created-database/publications-searches-2023-11-27-corrected-2024-10-01.csv,7461,0,7461,0,7461,0,7461,not included because it is a publication-linkage/outcome-reporting audit rather than an effect-size table,"Not included: the rows confirm publication linkage and matching metadata, but they do not contain exact result statistics or D/N fields for the preregistered point-estimate plot.",Nordic trial registration-publication linkage,nordic_trial_registration_publication_linkage_database,,0,0
Plot 3,not_included,AACT x PubMed registered primary outcomes,"Registered biomedical primary-outcome publication linkage, not analytic preregistration.",ClinicalTrials.gov/AACT primary-outcome linkages were considered because trial registration can identify focal biomedical outcomes at scale.,"Known: 2,720 registered primary-outcome rows in the earlier audit. Confirmed: trial registration: yes; analytic preregistration plan: no/insufficient; local Plot 3 D/N result rows: no.",documented in moved appendix material,2720,0,0,0,2720,0,2720,"considered as a biomedical comparator, but registration is not the same as analytic preregistration and the current layer is not yet a clean preregistered-results source family","Not included: registry metadata can support a comparator layer, but these rows are not yet analytic-preregistration result rows on the shared D/N axis.",AACT x PubMed registered primary outcomes,aact_x_pubmed_registered_primary_outcomes,du2024,0,0
Plot 3,not_included,COMPare prespecified clinical-trial outcome audit,"Outcome-reporting audit for clinical trials in top medical journals, parsed into prespecified and non-prespecified outcome rows.","COMPare looked like a missing Plot 3 source because the local parser recovers outcome-level rows and explicitly separates prespecified primary outcomes, prespecified secondary outcomes, and non-prespecified published outcomes.","Known locally: 72 trial reports and 1,171 outcome rows: 89 prespecified primary, 660 prespecified secondary, 422 non-prespecified publication outcomes. Confirmed: prespecified-outcome status: yes; trial/publication provenance: yes; effect estimate and N fields: no.",data/derived/corpus_candidates/compare_trials/compare_trials_outcome_rows.csv,1171,749,1171,0,1171,0,1171,"not included because it audits whether prespecified outcomes were reported, but does not contain effect estimates or analytic sample sizes","Not included: the prespecified-outcome labels are exactly the kind of audit trail we wanted to check, but the parsed rows stop at outcome text/reporting status. There is no D/N layer to plot.",COMPare prespecified outcome audit,compare_prespecified_clinical_trial_outcome_audit,,0,0
Plot 3,not_included,Twomey et al. 2021 kinesiology article audit,"Kinesiology article audit with preregistration, RCT, sample-size, and support flags.",Twomey looked eligible because its public article-level table includes a preregistration flag and sample size for 300 recent kinesiology articles.,"Known: 300 article rows, 27 marked preregistered, 295 with sample size. Confirmed: article grouping: yes; preregistration flag: yes; exact effect/test statistic for D conversion: no.",data/raw/corpus_candidates/twomey_2021/df_all.csv,300,27,300,0,300,0,300,not included because preregistration and N exist but exact effect/test-statistic fields do not,"Not included: this is a real public preregistration-aware article audit, but the released p-value fields are reporting-format/threshold metadata rather than exact numeric statistics for D/N reconstruction.",Twomey kinesiology article audit,twomey_et_al_2021_kinesiology_article_audit,,0,0
Plot 3,not_included,Registered Replication Reports per-lab rows,Per-lab rows from major published Registered Replication Reports documented in the appendix audit.,The RRR lab-level audit was considered because these are preregistered multi-lab replication analyses and the appendix documents recoverable per-lab D/N-style rows.,Known: 205 verified per-lab rows documented in the appendix across 10 RRRs. Confirmed: preregistered replication status: yes; current dedicated Plot 3 local source table: no; independence from Plot 1 pair rows: no.,documented in moved appendix material,205,205,0,0,205,0,205,not included because the same RRR evidence is already represented in Plot 1 replication pairs and the lab-level artifact is not yet a deduplicated Plot 3 source table,"Not included: real preregistered replication evidence, but adding lab rows here would double-count replication evidence already represented in Plot 1 until a separate within-project heterogeneity policy is written.",Registered Replication Reports per-lab rows,registered_replication_reports_per_lab_rows,,0,0
Plot 3,not_included,van den Akker preregistration-in-practice matched hypothesis corpus,Preregistration-in-practice corpus that reportedly matches preregistered hypotheses to the first corresponding published statistical result.,"This corpus looked high-yield because the research pass found preregistered hypotheses, first matched paper results, effective sample size, and Fisher-z/r-like effect fields. That is close to the Plot 3 row definition if the OSF files verify those fields.","Known from the research pass: a 193-study current sample and earlier 459-preregistered-study corpus are described; reported fields include matched hypothesis-result rows, first-result selector, effective N, and Fisher-z/r-like effects. Confirmed locally: no OSF data file has yet been downloaded or parsed.",https://osf.io/pqnvr/; https://osf.io/sujfa/; https://osf.io/xzcnb/,193,193,0,0,193,0,193,"not included yet because exact OSF files, variables, row count, and duplicate overlap have not been audited","Not included yet: potentially large and important, but it needs a local OSF download, field verification, r/Fisher-z-to-D conversion check, and DOI-level deduplication against existing Schäfer/Schwarz, Scheel, SCORE, PSA, and ManyBabies rows.",van den Akker preregistration-in-practice corpus,van_den_akker_preregistration_in_practice_matched_hypothesis_corpus,vanDenAkkerPreregPractice,0,0
Plot 3,not_included,ManyClasses 2 classroom registered-report materials,ManyClasses 2 OSF classroom intervention materials and scripts.,ManyClasses 2 was rechecked because it is a coordinated classroom project with public OSF materials and a staged worklist estimate of multiple classroom result rows.,"Known locally: 30 expected rows, 12 downloaded files. Confirmed: public OSF payload: yes; Terracotta/classroom data and scripts: yes; compact D/N confirmatory result table: no.",data/derived/replication_pairs/harvest/staged/manyclasses_2__stage.csv,30,30,30,0,30,0,30,"not included because the local payload is a classroom intervention analysis source, not a D/N-ready confirmatory result table","Not included: source files are local, but they require a separate education/classroom parser and metric policy before any Plot 3 points can be admitted.",ManyClasses 2 classroom materials,manyclasses_2_classroom_registered_report_materials,manyClasses2Osf,0,0
Plot 3,not_included,ManyBabies 3 rule-learning registered-report materials,ManyBabies 3 registered-report materials and public code/materials archive.,ManyBabies 3 looked eligible because it is a preregistered infant rule-learning multi-lab project. The repo has the OSF registered-report PDFs and public GitHub materials cached.,Known: target project expected roughly 15 lab/result rows in the harvest worklist. Confirmed: preregistered project materials: yes; final machine-readable site-level D/N result payload: no; promoted rows: 0.,data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv,15,15,0,0,15,0,15,not included because the public materials are document/code/stimulus artifacts without final site-level result rows,"Not included: preregistered materials are local, but the checked OSF archive and public GitHub repository did not expose final machine-readable infant result rows.",ManyBabies 3 registered-report materials,manybabies_3_rule_learning_registered_report_materials,manyBabies3Osf,0,0
Plot 3,not_included,Self-control fMRI preregistered replication materials,"Preregistration, scripts, paper mirror, and OpenNeuro-backed fMRI replication materials.",The self-control fMRI replication looked eligible because the OSF node contains preregistration/scripts and the paper/OpenNeuro materials are local.,Known: four expected candidate rows in the harvest worklist. Confirmed: preregistration materials: yes; raw fMRI/paper mirror: yes; machine-readable D/N result table: no; native neuroimaging metrics: unresolved.,data/derived/replication_pairs/harvest/staged/self_control_fmri_2022__stage.csv,4,4,0,0,4,0,4,not included because the local files are preregistration/raw-neuroimaging materials without a D/N-ready confirmatory table,"Not included: the source is documented and useful, but the current local payload does not provide Plot 3-ready confirmatory D/N rows.",Self-control fMRI preregistered materials,self_control_fmri_preregistered_replication_materials,,0,0
Plot 3,not_included,ERN/Pe RRR OpenNeuro and OSF analysis hubs,OpenNeuro/OSF materials for an EEG Registered Replication Report.,ERN/Pe looked eligible because it is a Registered Replication Report with public OpenNeuro raw EEG and OSF analysis artifacts.,Known: OpenNeuro raw EEG plus OSF summary/analysis artifacts are local. Confirmed: preregistered replication status: yes; replication-side native metrics: yes; compact original-vs-replication D/N row table: no.,data/derived/replication_pairs/harvest/staged/ern_pe_rrr_openneuro__stage.csv,1,1,0,0,1,0,1,not included because it is currently a native EEG/replication-side source rather than a compact D/N result corpus,"Not included: source is real and local, but it lacks a compact D/N table and the original-side result is missing from the local artifact set.",ERN/Pe RRR OpenNeuro/OSF hubs,ern_pe_rrr_openneuro_and_osf_analysis_hubs,ernPeRrrOpenNeuro,0,0
Plot 3,not_included,ManyBabies 4 helpers/hinderers registered-report materials,ManyBabies 4 Stage 1/Stage 2 Registered Report materials and public analysis repository for infant helpers/hinderers preferences.,"ManyBabies 4 looked eligible because it is a Stage 1 and Stage 2 Registered Report, reports N tested and N included, and exposes public analysis/data files. It is a plausible one-row pooled primary-result rescue.","Known from the research pass: N tested = 1,018, N included = 567, public analysis repo names clean_data.csv and analysis qmd files. Confirmed: Registered Report status: yes; final machine-readable data likely public; exact Stage 1 focal contrast and exact denominators: not yet locally verified.",https://manybabies.org/MB4/; https://github.com/manybabies/mb4-analysis,1,1,1,0,1,0,1,not included yet because the exact primary contrast and denominators still need file-level verification,"Not included yet: this is a strong near-row, but the current repo has not verified the Stage 1 focal contrast or exact counts from clean_data.csv. Rounded abstract percentages are not enough for strict Plot 3.",ManyBabies 4 helpers/hinderers RR materials,manybabies_4_helpers_hinderers_registered_report_materials,manyBabies4Project,0,0
