plot_name,plot_inclusion_status,source_label,corpus_what_it_is,what_it_is_why_possible_candidate,confirmed_fields,backing_file,rows_considered,rows_preregistered_equivalent,rows_with_public_local_backing,rows_with_extractable_DN,rows_with_non_retracted_source,rows_contributed,rows_left_out_within_source,why,why_in_out,display_label,source_key,citation_key,plot_rows_made_in
Plot 3,not_included,EGAP Metaketa I information/accountability native ATE rows,Coordinated EGAP Metaketa I information-and-accountability field experiments with a harmonized meta-pre-analysis plan and native ATE tables.,Metaketa I was rechecked because the local GitHub archive contains the CUP Book chapter 11 meta-analysis scripts and tables for the preregistered information/accountability experiments. The pooled primary vote-choice estimate is a strong PAP/native-metric candidate.,"Verified locally in `tab_11.1_main_effects.tex`: the overall vote-choice treatment estimate is 0.003 with SE 0.010, 25,820 observations, and control mean 0.369; good-news and bad-news vote-choice columns report 13,196 and 12,531 observations. Confirmed: coordinated PAP/native primary outcome: yes; N/observations and SE: yes; source-provided standardized D: no.",data/raw/replication_projects/lead_harvest/metaketa_i_2019/github_metaketa_i/metaketa-i-main.zip; CUP_Book/ch11_meta-analysis/tables/tab_11.1_main_effects.tex,1,1,1,0,1,0,1,not included as separate native/component rows because the pooled project dot is now included and component ATE rows need a native-metric lane,"Not included as component/native rows: the pooled Metaketa I paper/project median now enters strict Plot 3. Separate good-news, bad-news, country, and adjusted ATE rows stay staged because mixing them with the pooled row would double-count nested evidence and some component metrics are native clustered ATEs.",EGAP Metaketa I native ATE rows,egap_metaketa_i_information_accountability_native_ate_rows,metaketaIRepo,0
Plot 3,not_included,EGAP Metaketa III natural-resource monitoring native rows,EGAP Metaketa III coordinated natural-resource-monitoring field experiments with public OSF replication materials.,Metaketa III was recovered from the crash notes because the local staged harvest already documents public parent and component replication packages with site-estimate RData and Stata/R payloads.,Known locally: 30 expected native field-experiment rows and 26 downloaded files. Confirmed: public field-experiment replication package: yes; native ATE/site-estimate files: yes; source-provided standardized D/N row table: no.,data/derived/replication_pairs/harvest/staged/metaketa_iii_2021__stage.csv,30,30,30,0,30,0,30,not included as separate native/component rows because the pooled standardized-index project dot is now included,Not included as component/native rows: the pooled Metaketa III paper/project median now enters strict Plot 3. Site-specific ATEs and native resource outcomes such as forest cover and pollution concentration stay staged for a native-metric or component panel.,EGAP Metaketa III native rows,egap_metaketa_iii_natural_resource_monitoring_native_rows,metaketaIIIProject,0
Plot 3,not_included,EGAP Metaketa IV community-policing native rows,EGAP Metaketa IV coordinated community-policing field experiments with integrated public OSF result outputs.,Metaketa IV was recovered from the crash notes because the local staged harvest includes an integrated OSF results tree with study-estimate and meta-estimate RDS outputs.,Known locally: 36 expected native field-experiment rows and 21 downloaded files. Confirmed: public field-experiment result outputs: yes; native study/meta estimates: yes; source-provided standardized D/N row table: no.,data/derived/replication_pairs/harvest/staged/metaketa_iv_2021__stage.csv,36,36,36,0,36,0,36,not included as separate native/component rows because the pooled standardized-index project dot is now included,"Not included as component/native rows: the pooled Metaketa IV paper/project median now enters strict Plot 3. Country/site rows, police rows, cluster-level rows, and native administrative outcomes stay staged to avoid nested non-independent evidence in the main layer.",EGAP Metaketa IV native rows,egap_metaketa_iv_community_policing_native_rows,metaketaIVProject,0
Plot 3,not_included,ERN/Pe RRR OpenNeuro and OSF analysis hubs,OpenNeuro/OSF materials for an EEG Registered Replication Report.,ERN/Pe looked eligible because it is a Registered Replication Report with public OpenNeuro raw EEG and OSF analysis artifacts.,Known: OpenNeuro raw EEG plus OSF summary/analysis artifacts are local. Confirmed: preregistered replication status: yes; replication-side native metrics: yes; compact original-vs-replication D/N row table: no.,data/derived/replication_pairs/harvest/staged/ern_pe_rrr_openneuro__stage.csv,1,1,0,0,1,0,1,not included because it is currently a native EEG/replication-side source rather than a compact D/N result corpus,"Not included: source is real and local, but it lacks a compact D/N table and the original-side result is missing from the local artifact set.",ERN/Pe RRR OpenNeuro/OSF hubs,ern_pe_rrr_openneuro_and_osf_analysis_hubs,ernPeRrrOpenNeuro,0
Plot 3,not_included,FORRT FReD / Replication Database,Replication Database/FReD original-replication pairs and original-side published target claims.,FReD was rechecked because it is a large replication database and the local clean export contributes many D/N rows to the replication and published-result layers.,Known locally: 843 FReD pair rows in the replication-pair file and 796 original published-target D/N rows in the published corpus. Confirmed: D/N: yes; original-replication pairing: yes; analytic preregistration flag for each source result: no.,data/derived/corpus_candidates/candidate_d_n_papers.csv,843,0,843,843,843,0,843,not included because FReD is a replication-pair database rather than a preregistered-results corpus,Not included: FReD is already represented through Plot 1 pair evidence and Plot 2 original-target published evidence. The clean export does not make those rows standalone preregistered confirmatory results.,FORRT FReD / Replication Database,forrt_fred_replication_database,,0
Plot 3,not_included,FReD archived workflow workbook / OSF Registries queue,Archived FReD workflow workbook with additional converted/N-complete rows absent from the current clean FReD export.,"The FReD archive was rechecked because the freshness report found a possible rescue queue, including OSF Registries, ML1, RRR, Boyce, submissions, and OpenMKT-like sources.","Known locally: 343 converted/N-complete archive rows absent from the current clean export. A follow-up archive scan found 425 validated complete non-excluded rows overall, including 15 rows sourced from OSF Registries and 107 rows with a nonempty replication-preregistration field. Confirmed: N/effect conversion: partial; clean current-export status: no; duplicate/workflow filtering: unresolved; analytic preregistration: mixed/not confirmed.",reports/corpus_candidates/fred_freshness_check_2026-04-27.md,343,0,343,343,343,0,343,"not included because it is an archived workflow artifact, not a deduplicated current source table","Not included: the archive does contain preregistration-linked replication rows, including 15 OSF Registries rows, but they are replication-pair evidence rather than standalone Plot 3 result rows. Promoting them requires duplicate handling against existing FReD, Many Labs, RRR, and OSF-registries rows.",FReD archived workflow rescue queue,fred_archived_workflow_workbook_osf_registries_queue,,0
Plot 3,not_included,Linden et al. 2024 focal/random psychology sample,Psychology focal/random effect sample with local D/N rows and a preregistered meta-research study artifact.,Linden was rechecked because the raw OSF materials include a preregistration artifact and the parsed focal/random effect rows are D/N-ready.,"Known locally: 158 focal D/N rows and 158 random-effect D/N rows. Confirmed: D/N: yes (316); preregistration applies to the meta-research coding study, not to the sampled article findings.",data/derived/corpus_candidates/candidate_d_n_papers.csv,316,0,316,316,316,0,316,"not included because the preregistration is for the meta-research sampling/extraction study, not for each underlying published article result",Not included: the focal rows remain in the published-result layer and the random rows remain a comparator. The OSF preregistration does not make the sampled source articles analytically preregistered confirmatory results.,Linden focal/random psychology sample,linden_et_al_2024_focal_random_psychology_sample,linden2024publicationBiasPsychology,0
Plot 3,not_included,Many Labs 1-5 project-level replication rows,Coordinated Many Labs project-level original-vs-replication rows already represented in Plot 1.,Many Labs 1-5 looked like Plot 3 candidates because the projects are coordinated large-sample replication efforts with preregistered or protocol-locked analyses and local D/N rows.,Known locally: 69 project-level D/N pair rows across Many Labs 1-5 in the replication-pair file. Confirmed: replication protocol status: yes; original and replication D/N: yes; independent single-result Plot 3 table: no.,data/derived/replication_pairs/replication_pairs_all_on_hand.csv,69,69,69,69,69,0,69,"not included because these are already Plot 1 original-vs-replication arrows, not independent preregistered confirmatory-result rows","Not included: local D/N rows exist, but they are already consumed by the replication-pair plot. Adding them here would double-count replication-side evidence unless Plot 3 gets a separate multi-lab-replication lane.",Many Labs 1-5 project-level replication rows,many_labs_1_5_project_level_replication_rows,,0
Plot 3,not_included,ManyBabies 2 knowledge/ignorance registered-report materials,ManyBabies 2 multi-lab registered-report analysis of anticipatory-looking sensitivity to knowledge versus ignorance.,ManyBabies 2 was rechecked because it is a many-lab registered-report-style project with a public analysis repository and a paper-source first-test-trial confirmatory analysis for toddlers and adults.,"Verified from the public analysis repository and paper source: included N is 521 toddlers and 703 adults; the preregistered first-test-trial models report four primary condition coefficients: first-look logit coefficients for toddlers and adults plus proportional-looking coefficients for toddlers and adults. The repository gitignores raw/processed data and model-output directories, and the paper does not report a source-standardized D or residual SD needed for a lossless D conversion.",https://github.com/manybabies/mb2-analysis; local audit of paper/mb2-paper.tex and 007a-aoi-analysis.R,4,4,4,0,4,0,4,not included because the checked public payload reports native Bayesian/logit/proportion model coefficients rather than D/N-ready standardized result rows,"Not included: the lead is real and preregistered, but the strict Plot 3 D axis should not be populated by an ad hoc conversion from model coefficients without the processed analysis data, model residual scale, or a source-reported standardized effect. Keep as native/staged unless the processed result objects or a paper supplement exposes a defensible D conversion.",ManyBabies 2 native model-coefficient materials,manybabies_2_knowledge_ignorance_registered_report_materials,manyBabies2AnalysisRepo,0
Plot 3,not_included,ManyBabies 3 rule-learning registered-report materials,ManyBabies 3 registered-report materials and public code/materials archive.,ManyBabies 3 looked eligible because it is a preregistered infant rule-learning multi-lab project. The repo has the OSF registered-report PDFs and public GitHub materials cached.,Known: target project expected roughly 15 lab/result rows in the harvest worklist. Confirmed: preregistered project materials: yes; final machine-readable site-level D/N result payload: no; promoted rows: 0.,data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv,15,15,0,0,15,0,15,not included because the public materials are document/code/stimulus artifacts without final site-level result rows,"Not included: preregistered materials are local, but the checked OSF archive and public GitHub repository did not expose final machine-readable infant result rows.",ManyBabies 3 registered-report materials,manybabies_3_rule_learning_registered_report_materials,manyBabies3Osf,0
Plot 3,not_included,ManyBabies 4 helpers/hinderers registered-report materials,ManyBabies 4 Stage 1/Stage 2 Registered Report materials and public analysis repository for infant helpers/hinderers preferences.,"ManyBabies 4 looked eligible because it is a Stage 1 and Stage 2 Registered Report, reports N tested and N included, and exposes public analysis/data files. It is a plausible one-row pooled primary-result rescue.","Known from the research pass: N tested = 1,018, N included = 567, public analysis repo names clean_data.csv and analysis qmd files. Confirmed: Registered Report status: yes; final machine-readable data likely public; exact Stage 1 focal contrast and exact denominators: not yet locally verified.",https://manybabies.org/MB4/; https://github.com/manybabies/mb4-analysis,1,1,1,0,1,0,1,not included yet because the exact primary contrast and denominators still need file-level verification,"Not included yet: this is a strong near-row, but the current repo has not verified the Stage 1 focal contrast or exact counts from clean_data.csv. Rounded abstract percentages are not enough for strict Plot 3.",ManyBabies 4 helpers/hinderers RR materials,manybabies_4_helpers_hinderers_registered_report_materials,manyBabies4Project,0
Plot 3,not_included,ManyClasses 2 classroom registered-report materials,ManyClasses 2 OSF classroom intervention materials and scripts.,ManyClasses 2 was rechecked because it is a coordinated preregistered classroom project with public OSF materials and a reported pooled prequestion-learning effect. The surfaced confirmatory result is a hierarchical log-odds/OR learning effect rather than a direct standardized D row.,"Known locally: 30 expected rows, 12 downloaded files. Confirmed: public OSF payload: yes; Terracotta/classroom data and scripts: yes; N reported in the literature as 1,571; pooled log-odds/OR result surfaced; direct D/N confirmatory result table: no.",data/derived/replication_pairs/harvest/staged/manyclasses_2__stage.csv,30,30,30,0,30,0,30,"not included because the local payload is a classroom intervention analysis source, not a D/N-ready confirmatory result table","Not included: the best surfaced row is native log-odds/OR from a hierarchical classroom design. It stays staged until the project has an explicit, defensible OR-to-D policy and one-row-per-project extraction.",ManyClasses 2 classroom materials,manyclasses_2_classroom_registered_report_materials,manyClasses2Osf,0
Plot 3,not_included,Nordic trial registration-publication linkage database,"Clinical-trial registration/publication linkage audit with trial IDs, publication status, DOI/PMID, and matching criteria.","The Nordic trial-reporting database looked like the missing large clinical-trial preregistration source because it has thousands of trial-registration to publication links and records whether publications matched the registered design, population, intervention, comparator, and any outcome.","Known locally: 7,461 registry-publication search rows, 5,660 journal-publication rows. Confirmed: trial registration IDs: yes; publication DOI/PMID: yes where found; outcome/effect/N fields for D conversion: no.",data/raw/publication_bias_direct/nordic_trial_reporting/nordic-trial-reporting/data/4-created-database/publications-searches-2023-11-27-corrected-2024-10-01.csv,7461,0,7461,0,7461,0,7461,not included because it is a publication-linkage/outcome-reporting audit rather than an effect-size table,"Not included: the rows confirm publication linkage and matching metadata, but they do not contain exact result statistics or D/N fields for the preregistered point-estimate plot.",Nordic trial registration-publication linkage,nordic_trial_registration_publication_linkage_database,,0
Plot 3,not_included,Political-science PAP Dataverse/DIME/SCORE rescue worklist,"Concrete political-science PAP/preregistration rescue targets from AEA, EGAP/Metaketa, TESS, SCORE/JEPS, DIME, APSR/AJPS/CPS Dataverse, OpenICPSR, Zenodo, and OSF links.","The worklist was added because the political-science passes named specific row-level targets with visible preregistration URLs or verification targets, result pages, and data/package URLs. These are not broad registry metadata rows; they are extraction tickets with enough detail to drive package parsing.","Known locally: 14 concrete rescue tickets. Confirmed for each ticket: prereg/PAP URL or verification target: yes; result or article URL: yes; data/package URL where known: yes; final strict D/N: no, pending package/table extraction.",data/derived/effect_inflation_dataset/plot3_political_science_rescue_worklist.csv,14,14,14,0,14,0,14,"not included yet because these are package-level extraction tickets, not completed D/N rows","Not included yet: these named AEA/EGAP/TESS/Dataverse/DIME/SCORE/OpenICPSR/Zenodo targets are the next extraction queue. They need package downloads, PAP selector checks, and either D conversion inputs or native ATE/SE/N extraction before they can enter a plot panel.",Political-science rescue worklist,political_science_pap_dataverse_dime_score_rescue_worklist,,0
Plot 3,not_included,Protzko et al. 2024 High-Replicability Research project,Preregistered high-replicability project considered as a counter-pattern source.,High-Replicability Research was considered because it was designed as a preregistered counter-pattern source with many planned high-replicability findings.,Known: 48 project findings claimed in the audit trail; 3 local D/N pair rows recovered in the replication-harvest sidecar. Confirmed: analytic preregistration: yes; D/N: partial (3); non-retracted status: no.,documented in moved appendix material,48,48,3,3,0,0,48,considered as a preregistered counter-pattern dataset but excluded because the Nature Human Behaviour paper was retracted,"Not included: the source fails the non-retraction gate, so even locally recovered rows stay out of Plot 3.",High-Replicability Research project,protzko_et_al_2024_high_replicability_research_project,protzko2024highrep,0
Plot 3,not_included,Psychological Science Accelerator replication-pair rows,PSA multi-site replication/generality rows already promoted to Plot 1 where pairable.,"PSA projects looked eligible because they are preregistered, multi-site confirmatory projects. The local repo has PSA-002, PSA-004, and PSA-006 D/N pair rows.","Known locally: 93 PSA D/N pair rows (PSA-002 object orientation, PSA-004 Turri, PSA-006 trolley) in the replication-pair file. Confirmed: preregistered/multi-site status: yes; original and replication D/N: yes; standalone non-pair Plot 3 table: no.",data/derived/replication_pairs/replication_pairs_all_on_hand.csv,93,93,93,93,93,0,93,not included because these rows are original-vs-replication or country-level pair rows already represented in Plot 1,Not included: the PSA pair rows are already part of the replication-pair evidence. PSA-CR001 is the exception because it contributes four pooled preregistered confirmatory outcomes without an original-vs-replication arrow.,PSA replication-pair rows,psychological_science_accelerator_replication_pair_rows,,0
Plot 3,not_included,Registered Replication Reports Plot 1 pair rows,Registered Replication Report rows already normalized as original-vs-replication evidence.,The live RRR rows looked like Plot 3 candidates because they come from preregistered replication reports and have local D/N encodings.,Known locally: 49 RRR/FReD-RRR D/N pair rows in the replication-pair file. Confirmed: preregistered replication status: yes; original and replication D/N: yes; independence from Plot 1: no.,data/derived/replication_pairs/replication_pairs_all_on_hand.csv,49,49,49,49,49,0,49,not included because these rows are direct-replication pair evidence already plotted in Plot 1,"Not included: the rows are real preregistered replication evidence with D/N, but their current role is original-vs-replication comparison. Plot 3 is reserved for standalone preregistered confirmatory result rows.",Registered Replication Reports Plot 1 pair rows,registered_replication_reports_plot_1_pair_rows,,0
Plot 3,not_included,Registered Replication Reports per-lab rows,Per-lab rows from major published Registered Replication Reports documented in the appendix audit.,The RRR lab-level audit was considered because these are preregistered multi-lab replication analyses and the appendix documents recoverable per-lab D/N-style rows.,Known: 205 verified per-lab rows documented in the appendix across 10 RRRs. Confirmed: preregistered replication status: yes; current dedicated Plot 3 local source table: no; independence from Plot 1 pair rows: no.,documented in moved appendix material,205,205,0,0,205,0,205,not included because the same RRR evidence is already represented in Plot 1 replication pairs and the lab-level artifact is not yet a deduplicated Plot 3 source table,"Not included: real preregistered replication evidence, but adding lab rows here would double-count replication evidence already represented in Plot 1 until a separate within-project heterogeneity policy is written.",Registered Replication Reports per-lab rows,registered_replication_reports_per_lab_rows,,0
Plot 3,not_included,Retrieval-extinction rats preregistered replication,Preregistered direct replication attempt of the retrieval-extinction effect in cued fear conditioning in rats.,This source was rechecked because it is explicitly preregistered and the local harvest already promoted three original-vs-replication outcome rows.,Known locally: 3 D/N pair rows. Confirmed: preregistered replication: yes; D/N: yes; independent standalone Plot 3 row family: no.,data/derived/replication_pairs/harvest/staged/retrieval_extinction_rats_2017__stage.csv,3,3,3,3,3,0,3,not included because it is already direct-replication pair evidence rather than a standalone preregistered-result corpus,Not included: the three rows are valid and already handled as original-vs-replication evidence. Plot 3 excludes them to avoid double-counting replication-pair arrows.,Retrieval-extinction rats preregistered replication,retrieval_extinction_rats_preregistered_replication,luyten2017retrievalExtinction,0
Plot 3,not_included,Schäfer/Schwarz 2019 non-preregistered psychology articles,Matched non-preregistered psychology-article sample from the same Schäfer/Schwarz corpus.,The non-preregistered arm of Schäfer/Schwarz is useful as a within-source comparator because it has the same coded key-question-effect structure as the preregistered sample.,"Known: 900 coded non-preregistered rows, 682 D/N-ready rows. Confirmed: analytic preregistration: no; paper grouping: yes (900); paper D/N: yes (682); support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv,900,0,900,682,900,0,900,not included because these rows are explicitly non-preregistered; they remain a Plot 2 comparator source,"Not included: 682 D/N-ready rows exist and are already eligible for the published-paper endpoint surface, but the rows fail the analytic-preregistration gate for Plot 3.",Schäfer/Schwarz non-preregistered comparator,sch_fer_schwarz_2019_non_preregistered_psychology_articles,schaefer2019meaningfulness,0
Plot 3,not_included,Self-control fMRI preregistered replication materials,"Preregistration, scripts, paper mirror, and OpenNeuro-backed fMRI replication materials.",The self-control fMRI replication looked eligible because the OSF node contains preregistration/scripts and the paper/OpenNeuro materials are local.,Known: four expected candidate rows in the harvest worklist. Confirmed: preregistration materials: yes; raw fMRI/paper mirror: yes; machine-readable D/N result table: no; native neuroimaging metrics: unresolved.,data/derived/replication_pairs/harvest/staged/self_control_fmri_2022__stage.csv,4,4,0,0,4,0,4,not included because the local files are preregistration/raw-neuroimaging materials without a D/N-ready confirmatory table,"Not included: the source is documented and useful, but the current local payload does not provide Plot 3-ready confirmatory D/N rows.",Self-control fMRI preregistered materials,self_control_fmri_preregistered_replication_materials,,0
Plot 3,not_included,TESS peer-reviewed survey-experiment archive,Time-sharing Experiments for the Social Sciences archive of fielded survey experiments with peer-reviewed proposals/study pages.,"TESS was added as a political-science survey-experiment extraction queue because its public past-studies index is finite, scrapeable, and organized around pre-fielding peer-reviewed study proposals. The final research pass weakened its status: TESS proposals are useful transparency evidence, but TESS itself is not uniformly PAP-grade preregistration, and the index does not contain final article effect sizes or analytic Ns.",Verified by scraping `https://tessexperiments.org/paststudies` plus study pages: 517 unique study URLs; 3 pages expose sample size; 2 pages surface a likely PAP/pre-analysis-plan URL; 3 pages include a Summary of Results section; 2 pages expose enough N/native-stat text to enter the native-metric rescue queue. Confirmed: public index: yes; proposal/study page: yes at platform level; explicit full PAP-grade preregistration: not guaranteed; extractable final D/N in the index: no.,data/derived/effect_inflation_dataset/plot3_tess_study_index_candidates.csv,517,517,517,0,517,0,517,"not included yet because the archive is a discovery queue, not a D/N result table","Not included yet: TESS likely contains many useful survey-experiment rescue candidates, but each dot still needs case-level verification that the proposal/preregistration is strong enough, plus paper/result linkage, D or native effect extraction, and analytic N. The generated CSV is the work queue for that screen, not evidence to plot today.",TESS survey-experiment archive,tess_peer_reviewed_survey_experiment_archive,tessPastStudiesArchive,0
Plot 3,not_included,Transparent Psi Project / Bem preregistered replication,Preregistered large-sample Bem/psi replication with a local D/N pair row.,The Transparent Psi Project looked eligible because it is explicitly preregistered and the local combined raw data promoted one first-stopping-point D/N row.,Known locally: 1 promoted D/N pair row. Confirmed: preregistered replication: yes; original and replication D/N: yes; standalone confirmatory-result source independent of Plot 1: no.,data/derived/replication_pairs/harvest/promoted/tpp_bem__promoted_pairs.csv,1,1,1,1,1,0,1,not included because it is already a Plot 1 direct-replication row,"Not included: this is a clean preregistered replication row, but its current analytic role is a shrinkage arrow against Bem's original result, not a standalone preregistered-result observation.",Transparent Psi Project / Bem row,transparent_psi_project_bem_preregistered_replication,kekecs2023tpp,0
Plot 3,not_included,Twomey et al. 2021 kinesiology article audit,"Kinesiology article audit with preregistration, RCT, sample-size, and support flags.",Twomey looked eligible because its public article-level table includes a preregistration flag and sample size for 300 recent kinesiology articles.,"Known: 300 article rows, 27 marked preregistered, 295 with sample size. Confirmed: article grouping: yes; preregistration flag: yes; exact effect/test statistic for D conversion: no.",data/raw/corpus_candidates/twomey_2021/df_all.csv,300,27,300,0,300,0,300,not included because preregistration and N exist but exact effect/test-statistic fields do not,"Not included: this is a real public preregistration-aware article audit, but the released p-value fields are reporting-format/threshold metadata rather than exact numeric statistics for D/N reconstruction.",Twomey kinesiology article audit,twomey_et_al_2021_kinesiology_article_audit,,0
Plot 3,not_included,van den Akker selective-hypothesis-reporting psychology corpus,Large psychology preregistration-to-publication hypothesis-matching corpus from Selective Hypothesis Reporting in Psychology.,The selective-hypothesis-reporting corpus was separated from the 193-study preregistration-in-practice sample because the paper and local workbook expose a much larger study/hypothesis matching surface that can drive a later strict row-rescue pass.,"Known from the article: 459 preregistered studies and 2,119 identified hypotheses. Verified locally in `Data SHR.xlsx`: 484 PSP IDs total, 446 PSP IDs marked `Inclusion=Yes`, 5,723 filled preregistered-hypothesis cells among included PSP IDs, and 3,342 publication-match cells beginning with `Yes`. Confirmed: preregistration/publication hypothesis matching: yes; support/match status: yes; source-provided D/N: no.",data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx (downloaded audit copy); https://doi.org/10.1177/25152459231187988,459,459,446,0,459,0,459,"not included yet because it is a hypothesis/reporting-match corpus, not a ready effect-size and analytic-N table","Not included yet: this is the strongest large-volume psychology rescue surface from the crash notes, but the workbook identifies and matches hypotheses rather than providing one strict focal D/N row per study. Promotion requires selecting a preregistered focal hypothesis, linking it to an exact result statistic, converting the statistic to D, recovering analytic N, and deduplicating against existing Plot 3 psychology corpora.",van den Akker selective-hypothesis-reporting corpus,van_den_akker_selective_hypothesis_reporting_psychology_corpus,vanDenAkkerSelectiveHypothesis2023,0
