candidate_id,source_family,source_file,scheel_id,title,doi,support_binary,candidate_status,strict_append_ready,remaining_blocker,quote,stat_type,stat_value,df1,df2,D_candidate,N_candidate,N_candidate_basis,conversion_method
scheel_rr_004_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,4,Real and imagined power poses: is the physical experience necessary after all?,10.1080/23743603.2017.1341183,1.0,needs_pdf_focal_check,False,"Quote contains a candidate D/N, but article PDF still needs first-hypothesis and analytic-N verification.","We hypothesize that participants adopting an expansive body posture are more likely to take a risky gamble and feel more powerful than participants adopting a constrictive body posture both inthe imagined and the performed conditions. ""Body posture did not have a significant effect on the gambling decision, χ2(1,N=200)=0.25, p=.620, φ= .04. Indeed, 67.7% of participants in the expansive and 64.4% of participants in the constrictive body posture decided to gamble their money. Moreover, we investigated the effect of body posture on felt power using at-test. Participants adopting an expansive body posture (M= 2.24,SD=0.93)felt significantly more powerful than participant in the constrictive body posture (M= 1.99,SD=0.85),t(195.99) = 2.00,p= .047, 95% CI [0.004, 0.501], Cohen’sd=0.28.""",t,2.0,195.99,,0.2857215746229368,200.0,quote_N,t_df_to_d
scheel_rr_022_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,22,"Does Cleanliness Influence Moral Judgments?: A Direct Replication of Schnall, Benton, and Harvey (2008)",10.1027/1864-9335/a000186,0.0,needs_pdf_focal_check,False,"Quote contains a candidate D/N, but article PDF still needs first-hypothesis and analytic-N verification.","""Schnall, Benton, and Harvey (2008) hypothesized that physical cleanliness reduces the severity of moral judgments. In support of this idea, they found that individuals make less severe judgments when they are primed with the concept of cleanliness (Exp. 1) and when they wash their hands after experiencing disgust (Exp. 2)."" ""We conducted direct replications of both studies using materials supplied by the original authors. We did not find evidence that physical cleanliness reduced the severity of moral judgments using samples sizes that provided over .99 power to detect the original effect sizes. Our estimates of the overall effect size were much smaller than estimates from Experiment 1 (original d = −0.60, 95% CI [−1.23, 0.04], N = 40; replication d = −0.01, 95% CI [−0.28, 0.26], N = 208) and Experiment 2 (original d = −0.85, 95% CI [−1.47, −0.22], N = 43; replication d = 0.01, 95% CI [−.34, 0.36], N = 126). """,reported_d,0.6,,,0.6,40.0,quote_d_n_pair,reported_d
scheel_rr_022_2,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,22,"Does Cleanliness Influence Moral Judgments?: A Direct Replication of Schnall, Benton, and Harvey (2008)",10.1027/1864-9335/a000186,0.0,needs_pdf_focal_check,False,"Quote contains a candidate D/N, but article PDF still needs first-hypothesis and analytic-N verification.","""Schnall, Benton, and Harvey (2008) hypothesized that physical cleanliness reduces the severity of moral judgments. In support of this idea, they found that individuals make less severe judgments when they are primed with the concept of cleanliness (Exp. 1) and when they wash their hands after experiencing disgust (Exp. 2)."" ""We conducted direct replications of both studies using materials supplied by the original authors. We did not find evidence that physical cleanliness reduced the severity of moral judgments using samples sizes that provided over .99 power to detect the original effect sizes. Our estimates of the overall effect size were much smaller than estimates from Experiment 1 (original d = −0.60, 95% CI [−1.23, 0.04], N = 40; replication d = −0.01, 95% CI [−0.28, 0.26], N = 208) and Experiment 2 (original d = −0.85, 95% CI [−1.47, −0.22], N = 43; replication d = 0.01, 95% CI [−.34, 0.36], N = 126). """,reported_d,0.01,,,0.01,208.0,quote_d_n_pair,reported_d
scheel_rr_022_3,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,22,"Does Cleanliness Influence Moral Judgments?: A Direct Replication of Schnall, Benton, and Harvey (2008)",10.1027/1864-9335/a000186,0.0,needs_pdf_focal_check,False,"Quote contains a candidate D/N, but article PDF still needs first-hypothesis and analytic-N verification.","""Schnall, Benton, and Harvey (2008) hypothesized that physical cleanliness reduces the severity of moral judgments. In support of this idea, they found that individuals make less severe judgments when they are primed with the concept of cleanliness (Exp. 1) and when they wash their hands after experiencing disgust (Exp. 2)."" ""We conducted direct replications of both studies using materials supplied by the original authors. We did not find evidence that physical cleanliness reduced the severity of moral judgments using samples sizes that provided over .99 power to detect the original effect sizes. Our estimates of the overall effect size were much smaller than estimates from Experiment 1 (original d = −0.60, 95% CI [−1.23, 0.04], N = 40; replication d = −0.01, 95% CI [−0.28, 0.26], N = 208) and Experiment 2 (original d = −0.85, 95% CI [−1.47, −0.22], N = 43; replication d = 0.01, 95% CI [−.34, 0.36], N = 126). """,reported_d,0.85,,,0.85,43.0,quote_d_n_pair,reported_d
scheel_rr_022_4,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,22,"Does Cleanliness Influence Moral Judgments?: A Direct Replication of Schnall, Benton, and Harvey (2008)",10.1027/1864-9335/a000186,0.0,needs_pdf_focal_check,False,"Quote contains a candidate D/N, but article PDF still needs first-hypothesis and analytic-N verification.","""Schnall, Benton, and Harvey (2008) hypothesized that physical cleanliness reduces the severity of moral judgments. In support of this idea, they found that individuals make less severe judgments when they are primed with the concept of cleanliness (Exp. 1) and when they wash their hands after experiencing disgust (Exp. 2)."" ""We conducted direct replications of both studies using materials supplied by the original authors. We did not find evidence that physical cleanliness reduced the severity of moral judgments using samples sizes that provided over .99 power to detect the original effect sizes. Our estimates of the overall effect size were much smaller than estimates from Experiment 1 (original d = −0.60, 95% CI [−1.23, 0.04], N = 40; replication d = −0.01, 95% CI [−0.28, 0.26], N = 208) and Experiment 2 (original d = −0.85, 95% CI [−1.47, −0.22], N = 43; replication d = 0.01, 95% CI [−.34, 0.36], N = 126). """,reported_d,0.01,,,0.01,126.0,quote_d_n_pair,reported_d
scheel_rr_030_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,30,On the reliability of retrieval-induced forgetting,10.3389/fpsyg.2014.01343,1.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""Memory is modified through the act of retrieval. Although retrieving a target piece of information may strengthen the retrieved information itself, it may also serve to weaken retention of related information. This phenomenon, termed retrieval-induced forgetting, has garnered substantial interest for its implications as to why forgetting occurs. The present study attempted to replicate the seminal work by Anderson et al. (1994) on retrieval-induced forgetting, given the apparent sensitivity of the effect to certain deviations from the original paradigm developed to study the phenomenon. The study extends the conditions under which retrieval-induced forgetting has been examined by utilizing both a traditional college undergraduate sample (Experiment 1)"" AND "" For Experiment 1 we first conducted a planned comparison t-test between RP− and NRP item final recall performance, anticipating lower RP− performance (i.e., a RIF effect). "" ""Given the significant RIF effect observed in Experiment 1, and effect size d = 0.31, we can conclude that the replication was successful.""",reported_d,0.31,,,0.31,,missing,reported_d
scheel_rr_039_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,39,Does that pose become you? Testing the effect of body postures on self-concept,10.1080/23743603.2017.1341178,0.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""Our primary aim is to test if size of postures (expanded v. contracted) cause differences in size and content of self-concept. Given that self-expansion has been shown to result from increased positively valenced self-concept content (Mattingly et al., 2014; McIntyre et al., 2014), we hypothesize that expanded postures will activate more meaningful self-concept content and yield relatively greater positive self-concept size."" ""To finally begin the direct tests of our pre-registered hypotheses, we tested the hypothesis that participants who were assigned to hold expanded (vs. contracted) bodily postures would have higher self-concept size. Data for the four self-concept size measures were standardized to z-scores and then summed to create a composite self-concept size score. An independent samples t-test revealed no significant differ-ences between contracted and expanded postures on this composite, t(126) = –0.59, p = .56, 95% CI[–0.29, 0.15]); including sexual orientation as a covariate did not change the findings (final model: assigned posture, F(1, 125) = 0.77, p = .38, η2 partial = .006)"" AND ""Taken together, we did notfind compelling support that randomly assigned posture affects self-concept size.""",F,0.77,1.0,125.0,0.15697133496278867,127.0,df2_plus_2_approx,F_1_df_to_d
scheel_rr_050_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,50,Can race really be erased? A pre-registered replication study,10.3389/fpsyg.2014.01035,1.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""In the current replication proposal, we set out to test two crucial hypotheses, which directly map on predictions 3 and 4, in Kurzban et al. (2001): • Hypothesis 1 (ℋ1): when visual coalition cues are present, the encoding of race is diminished as compared to when no visual coalitional cues are present."" ""The test revealed a significant difference [t(461) = 1.99, p = 0.023, r = 0.09], rejecting the null hypothesis associated with ℋ1. The effect size, r = 0.09, is smaller than the effect sizes reported in (experiments 1 and 2: r = 0.18 and experiments 5 and 6: r = 0.28) (Kurzban et al., 2001), and on par with the effect size reported by (r = 0.08) (Johnson and Cesario, 2013), as can be found in Table 1. Moreover, the confidence interval on the effect size only just excludes 0 [95%CI (0.002, 0.182)]."" AND ""The planned t-tests confirmed the crucial hypotheses""",t,1.99,461.0,,0.1853670802673837,463.0,df_plus_2_approx,t_df_to_d
scheel_rr_058_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,58,Sex Differences in Distress From Infidelity in Early Adulthood and in Later Life: A Replication and Meta-Analysis of Shackelford et al. (2004),10.1027/1864-9335/a000185,0.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""Shackelford and colleagues (2004) found that men, compared to women, are more distressed by sexual than emotional infidelity, and this sex difference continued into older age. We conducted four high-powered replications (total N = 1,952) of this effect and found different results."" ""In Study 3, with just older individuals (M age = 58.7, SD age = 6.9), none of the dilemmas reached significance (all ps > .12). In addition, the averaged SDS was not significantly different when comparing men and women, d = 0.09, t(138) = .51, p = .61.""",reported_d,0.09,,,0.09,,missing,reported_d
scheel_rr_068_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,68,Could a woman be superman? Gender and the embodiment of power postures,10.1080/23743603.2016.1248079,0.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"Concerning duration in the posture, we made the confirmatory predication that participants would engage in postures that are counter-stereotypical with respect to their own gender for shorter durations (e.g. Dovidio et al., 1988). Thus, male participants would engage in low-power postures for shorter durations than high-power postures, and female participants would engage in high-power postures for shorter durations than low-power postures. We predicted a two-way interaction, with male participants expected to enact low-power postures for less time than high-power postures and female participants expected to enact high-power postures for less time than low-power postures. We did not find evidence for this interaction, F(1,90) = 0.58, p = .449, ηp2 = .01.",F,0.58,1.0,90.0,0.16055459438389727,92.0,df2_plus_2_approx,F_1_df_to_d
scheel_rr_069_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,69,Number-induced shifts in spatial attention: a replication study,10.3389/fpsyg.2014.00987,0.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""In a spatial attention paradigm, Fischer et al. (2003) showed that merely perceiving a number shifted attention according to the magnitude of the number. Low numbers shifted attention to the left and high numbers shifted attention to the right. This suggests that numbers are represented by the mental number line – a spatial image schema that is ordered from left to right with increasing magnitude. In six experiments, we used the spatial attention paradigm of Fischer et al. (2003) to investigate if and when such mental representations are activated"" [not specific enough for the first experiment] ""The main effect for Magnitude was not significant, F < 1. The Magnitude × Side interaction effect did not reach significance, F(1,19) = 0.03, p = 0.863. Because the ANOVA p-values cannot be used to provide evidence in favor of the null hypothesis (it can only be used to reject it), we further analyzed the interaction effects between magnitude (high vs. low number) and side (left vs. right) using the Bayesian information criterion (BIC; see Wagenmakers, 2007; Masson, 2011). The posterior probability favoring the null hypothesis was pBIC(H0 | D) = 0.81 for the two-way interaction between magnitude and side. BIC values between 0.75 and 0.95 should be considered positive evidence for a hypothesis (Wagenmakers, 2007; Masson, 2011). Thus, it appears that merely perceiving numbers did not affect spatial attention.""",F,0.03,1.0,19.0,0.07947194142390263,21.0,df2_plus_2_approx,F_1_df_to_d
scheel_rr_071_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,71,Radical framing effects in the ultimatum game: the impact of explicit culturally transmitted frames on economic decision-making,10.1098/rsos.170543,1.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""Here we test the hypothesis that, in contrast to the modal offer in the unframed ultimatum game (UG) (e.g. 60% to the proposer and 40% to the responder), offers in a UG explicitly framed either as a currency exchange or a windfall will closely conform to expectations for the frame and diverge substantially from the modal offer. "" [general] AND ""We predicted (i) that modal offers in the currency exchange would involve an asymmetric split where greater than 80% went to customers and less than 20% went to banker"" [first tested hypothesis] ""Our first prediction was confirmed with substantial effect sizes (d = 1.09 and d = −2.04),""",reported_d,1.09,,,1.09,,missing,reported_d
scheel_rr_234_1,Scheel et al. 2021 Registered Reports corpus,data/raw/corpus_candidates/scheel_2021/positive_results_in_registered_reports_data.tsv,234,An Internet-Based Intervention to Promote Mental Fitness for Mildly Depressed Adults: Randomized Controlled Trial,10.2196/jmir.2603,1.0,needs_pdf_n_check,False,N is approximated from test degrees of freedom; verify analytic N and first-hypothesis mapping in the article.,"""We hypothesized that the online positive psychological intervention group would demonstrate a significant increase in well-being and a reduction in depressive and anxiety symptoms at 2- and 6-month follow-ups as compared to the control group."" ""At 2-month follow-up, Psyfit tended to be more effective in enhancing well-being (nonsignificantly for MHC-SF: Cohen’s d=0.27, P=.06; significantly for WHO-5: Cohen’s d=0.31, P=.01), compared to the waiting-list control group"" AND ""At 6-month follow-up, there were no significant effects on well-being (MHC-SF: Cohen’s d=0.01, P=.90; WHO-5: Cohen’s d=0.26, P=.11)"" AND ""This study shows that an online well-being intervention can effectively enhance well-being (at least in the short-term and for 1 well-being measure)""",reported_d,0.27,,,0.27,,missing,reported_d
