mapping_id	from_source_id	to_source_id	relationship_type	relationship_confidence	notes
map_6276882de648	src_du2024	work_nct_nct01606124	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_a2792b5f35b5; Inferred from dot-level parent source family and represented paper/result key.
map_eda0e5f0d257	src_ying2023pilot	work_title_weight_loss_maintenance_weight_regain	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_bc78312ff9c4; Inferred from dot-level parent source family and represented paper/result key.
map_3d4e26c24c21	src_tyner2026	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_5598a1474491; Inferred from dot-level parent source family and represented paper/result key.
map_1edc8d6cb350	src_bosco2020metabus	work_title_jap_79_5_691	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_362d2e514afe; Inferred from dot-level parent source family and represented paper/result key.
map_7045b46ddf03	src_du2024	work_nct_nct00373113	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_9800e39769a1; Inferred from dot-level parent source family and represented paper/result key.
map_98871beee7d8	src_du2024	work_nct_nct00676650	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_06354aed9477; Inferred from dot-level parent source family and represented paper/result key.
map_cd2ff3701f86	src_schaefer2019meaningfulness	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_a182ef5b0da7; Inferred from dot-level parent source family and represented paper/result key.
map_590586c563c2	src_yengo2022	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_f562e2645cdd; Inferred from dot-level parent source family and represented paper/result key.
map_362e45dfeda7	src_tosh2024	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_8486dcbc1804; Inferred from dot-level parent source family and represented paper/result key.
map_264da0cbd04c	src_internalplot2replicationpairoriginalsbridge	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_3dcf8949d2f9; Inferred from dot-level parent source family and represented paper/result key.
map_46e420ccdf3c	src_du2024	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c8398f907345; Inferred from dot-level parent source family and represented paper/result key.
map_8949689e0fbe	src_du2024	work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_7a1e8bbfd877; Inferred from dot-level parent source family and represented paper/result key.
map_cd18228e6926	src_zhang2025clinifact	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_60360366c47c; Inferred from dot-level parent source family and represented paper/result key.
map_7d6ec7c7acae	src_bosco2020metabus	work_title_jap_82_1_89	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_8d7eceba3893; Inferred from dot-level parent source family and represented paper/result key.
map_acd4faabf8ae	src_masur2025privacy	work_doi_10_1093_joc_jqaf007	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_266b83deab6b; Inferred from dot-level parent source family and represented paper/result key.
map_7025ef42449f	src_woodhoyprykechinaaiddataverse	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_32e8f46f1c24; Inferred from dot-level parent source family and represented paper/result key.
map_948461ec0e77	src_tosh2024	work_doi_10_1073_pnas_2103313118	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_57e119b02525; Inferred from dot-level parent source family and represented paper/result key.
map_d2a7150069a4	src_du2024	work_title_percent_change_in_worst_pain_score	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_ceddf70c38b1; Inferred from dot-level parent source family and represented paper/result key.
map_c408283a698d	src_yengo2022	work_title_demographic_and_genome_wide_association_analyses_according_to_musc	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_acfd28ade498; Inferred from dot-level parent source family and represented paper/result key.
map_c9d69fe2f055	src_tyner2026	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_995bd3c3900a; Inferred from dot-level parent source family and represented paper/result key.
map_6ef91148e7f4	src_yengo2022	work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_e567a2ed8bf8; Inferred from dot-level parent source family and represented paper/result key.
map_ce55cb58a3f7	src_du2024	work_title_antipsychotic_efficacy	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_147c4fd5d62f; Inferred from dot-level parent source family and represented paper/result key.
map_10909df44049	src_yengo2022	work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_a3c89d628df7; Inferred from dot-level parent source family and represented paper/result key.
map_e4906012518d	src_button2013	work_title_etminan_72	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_07eb16a91055; Inferred from dot-level parent source family and represented paper/result key.
map_681b25176fcd	src_yengo2022	work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_418e6ec7b4d3; Inferred from dot-level parent source family and represented paper/result key.
map_941519e767da	src_tosh2024	work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_68030d0ead7f; Inferred from dot-level parent source family and represented paper/result key.
map_7d35c6ef2c7e	src_yengo2022	work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_9e1a912c9b1d; Inferred from dot-level parent source family and represented paper/result key.
map_d4c21a17d6ad	src_du2024	work_title_morphine_milligram_equivalents_mme	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_df1f5890afec; Inferred from dot-level parent source family and represented paper/result key.
map_220ee8af489d	src_motyl2017state	work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_f5b1fa84ce27; Inferred from dot-level parent source family and represented paper/result key.
map_5f98940a1b17	src_du2024	work_title_period_1_endoscopic_remission	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_17b0cfe42e6d; Inferred from dot-level parent source family and represented paper/result key.
map_8cb2382155f6	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_84_3_445_3761	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c1cbd6657a4e; Inferred from dot-level parent source family and represented paper/result key.
map_e07eebd9f50f	src_yengo2022	work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6e06fcfca537; Inferred from dot-level parent source family and represented paper/result key.
map_ad023c6f013d	src_schaefer2019meaningfulness	work_title_schaefer_2019_np_soc_079	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_307943984453; Inferred from dot-level parent source family and represented paper/result key.
map_b53847ab6760	src_motyl2017state	work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_61bbdea80744; Inferred from dot-level parent source family and represented paper/result key.
map_371e52226583	src_bosco2020metabus	work_title_jap_87_1_185	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1ed207224a85; Inferred from dot-level parent source family and represented paper/result key.
map_bb0080392e84	src_du2024	work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_fdf78d9e9f66; Inferred from dot-level parent source family and represented paper/result key.
map_cb601780fb69	src_du2024	work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_72511a245c94; Inferred from dot-level parent source family and represented paper/result key.
map_7ca42177d272	src_yengo2022	work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c5752f09223e; Inferred from dot-level parent source family and represented paper/result key.
map_ad47157c73dc	src_du2024	work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_9c4daeb580e8; Inferred from dot-level parent source family and represented paper/result key.
map_4860851f1304	src_yengo2022	work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c25aa56f24e3; Inferred from dot-level parent source family and represented paper/result key.
map_a9de8f9ba014	src_du2024	work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_4871288bad74; Inferred from dot-level parent source family and represented paper/result key.
map_3cbe65bc0190	src_du2024	work_title_narcotic_use	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_92b015f56f77; Inferred from dot-level parent source family and represented paper/result key.
map_3f3c2a30382e	src_du2024	work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_2c54a948cfe2; Inferred from dot-level parent source family and represented paper/result key.
map_5816b0a33237	src_bergmann2018metalab	work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6884c920951c; Inferred from dot-level parent source family and represented paper/result key.
map_81fc62db77ec	src_du2024	work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_333ef50a595e; Inferred from dot-level parent source family and represented paper/result key.
map_591da412630d	src_motyl2017state	work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_03355505d651; Inferred from dot-level parent source family and represented paper/result key.
map_c4a79f50d35d	src_schaefer2019meaningfulness	work_title_schaefer_2019_np_cli_064	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_e89d75ebfd8e; Inferred from dot-level parent source family and represented paper/result key.
map_270fc645570e	src_kuhberger2014publicationbias	work_title_kuhberger_669	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_61aeb1d7281e; Inferred from dot-level parent source family and represented paper/result key.
map_427ca0108389	src_du2024	work_nct_nct02473289	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c6091d70fcc5; Inferred from dot-level parent source family and represented paper/result key.
map_039905de55a0	src_bergmann2018metalab	work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_e786a4f0bdc3; Inferred from dot-level parent source family and represented paper/result key.
map_8357d1afd82f	src_tyner2026	work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_81dcacb19b9f; Inferred from dot-level parent source family and represented paper/result key.
map_c0e4ee011ff7	src_tyner2026	work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_e74bda715816; Inferred from dot-level parent source family and represented paper/result key.
map_da836d2cdc43	src_errington2021	work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_3ea41f299d78; Inferred from dot-level parent source family and represented paper/result key.
map_8d274f0e53b9	src_motyl2017state	work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_78c450606fc2; Inferred from dot-level parent source family and represented paper/result key.
map_5553432d8f2b	src_yengo2022	work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c32a10acbc15; Inferred from dot-level parent source family and represented paper/result key.
map_a5e26c07981a	src_tyner2026	work_title_ethnicity_and_altruism_after_violence_the_contact_hypothesis_in_ko	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_68c0e5067d4b; Inferred from dot-level parent source family and represented paper/result key.
map_99736d139d0f	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_93_5_1013_4374	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_f339c0254923; Inferred from dot-level parent source family and represented paper/result key.
map_7b675b634d4c	src_yengo2022	work_title_genetic_correlates_of_vitamin_d_binding_protein_and_25_hydroxyvita	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_9078255a0573; Inferred from dot-level parent source family and represented paper/result key.
map_05559e4a3e95	src_tyner2026	work_title_adapting_to_climate_change_the_remarkable_decline_in_the_us_temper	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_b38402a7e48a; Inferred from dot-level parent source family and represented paper/result key.
map_afa7d5a71ee4	src_yengo2022	work_title_genome_wide_association_study_meta_analysis_for_parkinson_disease	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_deff8d4a6913; Inferred from dot-level parent source family and represented paper/result key.
map_f27f8824fd71	src_motyl2017state	work_title_clarkson_j_j_valente_m_j_leone_c_tormala_z_l_2013_motivated_reflec	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_b0fb1425aea4; Inferred from dot-level parent source family and represented paper/result key.
map_d00339bba5e5	src_yun2024llmextraction	work_title_pmcid_4493951	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_c15be1b60041; Inferred from dot-level parent source family and represented paper/result key.
map_ad582183c7ff	src_linden2024publicationbiaspsychology	work_title_linden_2018_1	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_b2348504f69b; Inferred from dot-level parent source family and represented paper/result key.
map_9832d2072b2b	src_yengo2022	work_title_evidence_for_vav2_and_znf433_as_susceptibility_genes_for_multiple	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_87ff7572edff; Inferred from dot-level parent source family and represented paper/result key.
map_f08e406c73ef	src_du2024	work_title_mediastinal_nodal_clearance_after_completion_of_induction_chemorad	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_f31698e541dc; Inferred from dot-level parent source family and represented paper/result key.
map_334a5c97b38a	src_schaefer2019meaningfulness	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_05a96a248d34; Inferred from dot-level parent source family and represented paper/result key.
map_660b9711588e	src_zhang2025clinifact	work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6d53289e06ab; Inferred from dot-level parent source family and represented paper/result key.
map_e7c038644f5a	src_tosh2024	work_title_maximizing_performance	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_528e74f3ea09; Inferred from dot-level parent source family and represented paper/result key.
map_b9a47a2cb2a7	src_yengo2022	work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_68b9aab77905; Inferred from dot-level parent source family and represented paper/result key.
map_385f365f80b5	src_tyner2026	work_title_organizational_learning_in_target_setting	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_612caed0e0da; Inferred from dot-level parent source family and represented paper/result key.
map_74bf35db7de8	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_77_4_453_3437	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_21fe810427f5; Inferred from dot-level parent source family and represented paper/result key.
map_827e9ac73dbd	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_93_3_632_4351	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_d77f8db1d1b7; Inferred from dot-level parent source family and represented paper/result key.
map_031c8f53e740	src_yengo2022	work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_31cedf25f0f0; Inferred from dot-level parent source family and represented paper/result key.
map_5930878f0cf1	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_95_1_183_4501	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_553821bb35af; Inferred from dot-level parent source family and represented paper/result key.
map_91c031397c45	src_du2024	work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6ec02a020539; Inferred from dot-level parent source family and represented paper/result key.
map_9551a2976134	src_bosco2020metabus	work_title_jap_91_4_971	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6b48885948a9; Inferred from dot-level parent source family and represented paper/result key.
map_08a4fa661e5e	src_tyner2026	work_title_alves_et_al_2018_score_24716_49_3	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_afedb8c87b93; Inferred from dot-level parent source family and represented paper/result key.
map_d54fb1416be5	src_bosco2020metabus	work_title_jap_86_6_1120	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_fbb29ff3b4c7; Inferred from dot-level parent source family and represented paper/result key.
map_6829b9d32a05	src_yengo2022	work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_dc4eddf69c3c; Inferred from dot-level parent source family and represented paper/result key.
map_ec648eafd7ff	src_du2024	work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_01b8db23d742; Inferred from dot-level parent source family and represented paper/result key.
map_3c94da885d77	src_tosh2024	work_doi_10_2466_pms_109_2_577_580	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_0832a411bca2; Inferred from dot-level parent source family and represented paper/result key.
map_3a4fe1f75639	src_olsson2023publicationbias	work_title_olsson_sundell_2023_57	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_47e74981aa68; Inferred from dot-level parent source family and represented paper/result key.
map_66750a503b0e	src_klein2018	work_title_many_labs_2_alter_1	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6c3663410cb7; Inferred from dot-level parent source family and represented paper/result key.
map_789794eeeaa9	src_tyner2026	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_0372d6c4f192; Inferred from dot-level parent source family and represented paper/result key.
map_a0a74d55378b	src_bosco2020metabus	work_plot2_metabus_open_bosco_pp_53_1_153_4827	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6c8fbd0ac45b; Inferred from dot-level parent source family and represented paper/result key.
map_47dbf2f16f6f	src_internalkerschbaumerphaseiiiiirheumatology	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_df148fcf0ce2; Inferred from dot-level parent source family and represented paper/result key.
map_c697d9b037e5	src_yengo2022	work_title_genomics_of_perivascular_space_burden_unravels_early_mechanisms_of	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_d3539c7b3ccb; Inferred from dot-level parent source family and represented paper/result key.
map_a37b0b4f8a53	src_tosh2024	work_title_researchers_showed_images_to_the_adolescents_with_anorexia_nervosa	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_b60e3b988d3b; Inferred from dot-level parent source family and represented paper/result key.
map_844666f3a60c	src_du2024	work_title_log_transformed_log_28_day_seizure_rate_for_all_primary_generalize	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_3fcd19c120b1; Inferred from dot-level parent source family and represented paper/result key.
map_487f3444cf1d	src_tyner2026	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_a9a7d2fcc0d6; Inferred from dot-level parent source family and represented paper/result key.
map_9514f090d604	src_soto2019loopr	work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_be4fa916ebbe; Inferred from dot-level parent source family and represented paper/result key.
map_395d10b1b2b5	src_ito2018eyewitnesstencountries	work_title_garry_et_al_2008_co_witness_memory_distortion_original_new_zealand	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_e2cb991d651a; Inferred from dot-level parent source family and represented paper/result key.
map_62938f5b9b10	src_du2024	work_nct_nct04244084	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_76a99a771018; Inferred from dot-level parent source family and represented paper/result key.
map_8e94ba87038f	src_collaboration2015	work_title_https_osf_io_8j9cg	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_4018aa63d523; Inferred from dot-level parent source family and represented paper/result key.
map_1d630baa193a	src_collaboration2015	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1ffcb30d1c76; Inferred from dot-level parent source family and represented paper/result key.
map_2781c05eec9f	src_boyce2023studentreplication	work_title_f_1_117_127_07	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_5b1a0fc622e3; Inferred from dot-level parent source family and represented paper/result key.
map_6f933e47f515	src_du2024	work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_29a6bfd3a748; Inferred from dot-level parent source family and represented paper/result key.
map_9f1e790754f0	src_bosco2020metabus	work_plot2_metabus_open_bosco_pp_63_2_439_4994	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1c71871780ff; Inferred from dot-level parent source family and represented paper/result key.
map_36dc58220950	src_zhang2025clinifact	work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1ba37b2938cd; Inferred from dot-level parent source family and represented paper/result key.
map_665737401cc1	src_tyner2026	work_doi_10_1007_s10683_011_9295_3	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_0a4728aa6abf; Inferred from dot-level parent source family and represented paper/result key.
