Trial Info,,,,,,,,,,,
Week,26/10/2015,,,,,,,,,,
Study ID,19B RESET,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,
Trial Title,"Tasimelteon for non-24-hour sleepĂ˘Â€Â“wake disorder in totally blind people (SET and RESET): two multicentre, randomised, double-masked, placebo-controlled phase 3 trials",,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60031-9/abstract,,,,,,,,,,
Publication date,October 31 2015 (Published online August 5 2015),,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/record/NCT01430754,,,,,,,,,,
Registry ID,NCT01430754,,,,,,,,,,
"Protocol link, if available",Not available,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Maintenance of circadian rhythm entrainment in subjects with N24HSWD [Time Frame: Approximately 12 weeks],,,,,,,Yes,No,No,No
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,0,0,0
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Symptoms of withdrawal after a minimum of three months of tasimelteon treatment assessed by the Benzodiazepine Withdrawal Symptom Questionnaire [Time Frame: 2 weeks],,,,,,,No,No,Yes,No
2,"Number of participants with Treatment-Emergent Adverse Events [Time Frame: 6 months] Treatment-emergent adverse events (TEAEs) will be summarized by treatment group, by presenting, for each treatment group, the number and percentage of subjects having any treatment-emergent AE, having an AE in each body system, and having each individual AE.",,,,,,,No,No,Yes,No
3,Number of participants with changes in Clinical Laboratory Data [Ă‚Â TimeĂ‚Â Frame:Ă‚Â 6 monthsĂ‚Â ] ,,,,,,,No,No,Yes,No
4,Number of participants with newly occurring or worsening ECG abnormalities [Ă‚Â TimeĂ‚Â Frame:Ă‚Â 6 monthsĂ‚Â ] ,,,,,,,No,No,Yes,No
5,Number of participants with clinically notable values for Vital Signs and Body Measurements [Ă‚Â TimeĂ‚Â Frame:Ă‚Â 6 monthsĂ‚Â ] ,,,,,,,No,No,No,Yes
6,Number of participants who report a positive result for the C-SSRS [Ă‚Â TimeĂ‚Â Frame:Ă‚Â 6 monthsĂ‚Â ],,,,,,,No,No,Yes,No
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,,,,,,,TOTALS,0,0,5,1
,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported
1,Maintenance of Entrainment (Cortisol) in Subjects With N24HSWD [Ă‚Â TimeĂ‚Â Frame:Ă‚Â Approximately 12 weeksĂ‚Â ],,,,,,,No,,,Yes
2,AverageĂ‚Â night-time total sleep time (nTST) ,,,,,,,No,,,Yes
3,AverageĂ‚Â day-time total sleep time (dTST) ,,,,,,,No,,,Yes
4,Average lower-quartile night-time total sleep (LQ-nTST),,,,,,,No,,,Yes
5,Average upper-quartile day-time total sleep (UQ-dTST),,,,,,,No,,,Yes
6,Average increase on the midpoint of sleep timing (MoST),,,,,,,No,,,Yes
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,6,,,,,,TOTALS,0,,,6
,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,
Mutliple changes to the pre-specified outcomes since commencement of the trial,,,,,,,,,,,
See summary of analysis in Trial 19 folder,,,,,,,,,,,