level,subset,source_corpus,field,source_kind,published_scope,n,slope,intercept,slope_se,p_value,r_squared,median_D,median_N
row,all_usable_rows,forrt_fred,Neuroscience,replication_target_original_claim,published_original_claims_selected_for_replication,38,-0.22368539089448258,0.18012713170675398,0.10860185717853443,0.04671582285281065,0.10541878599430221,0.7543904893841147,27.0
row,all_usable_rows,forrt_fred,psychology,replication_target_original_claim,published_original_claims_selected_for_replication,36,-0.44582336620402074,0.6503467831496959,0.054012060851753044,1.2432199324840077e-09,0.6670939119667348,0.5549896685959173,107.0
row,all_usable_rows,havranek_frisch_intensive,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,36,-0.11044788417442791,-0.5926911241238995,0.13059947355902626,0.4036331560519263,0.020602132947933005,0.06357566755674655,21852.0
row,all_usable_rows,turner_antidepressants_2022,medicine_psychiatry,journal_publication,published_journal,35,0.18072010357056975,-1.0490666117584504,0.3666512104446744,0.6253515499312553,0.007308145843980318,0.294599,397.0
row,all_usable_rows,forrt_fred,Developmental Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,34,-0.5937514924675287,0.7570105451645085,0.13993748707596596,0.00017614139395662456,0.3600364906504404,0.7448299522055875,54.0
row,all_usable_rows,forrt_fred,political science,replication_target_original_claim,published_original_claims_selected_for_replication,21,-0.43652614999046285,0.6994275997785834,0.04706309422833739,1.7431122953216572e-08,0.8191025984851156,0.26904847675437565,4648.0
row,all_usable_rows,forrt_fred,Communication Science,replication_target_original_claim,published_original_claims_selected_for_replication,19,-0.6701534009002488,1.1216860352592795,0.163564986798607,0.0007513051179119562,0.4968448351696322,0.2946084140015401,499.0
row,all_usable_rows,forrt_fred,Medicine,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.45652507324537445,0.535204979873898,0.1407723260534791,0.005461041839704826,0.4121581759521421,0.375,192.0
row,all_usable_rows,forrt_fred,Political Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.27606184866019345,0.35317315336485616,0.18614100141353926,0.15875856535705085,0.12788283798827427,0.4796421590908131,214.0
row,all_usable_rows,forrt_fred,marketing/org behavior,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.24635790548264147,0.20803738185734913,0.12584274017889346,0.06914041682362233,0.20350253084772063,0.5003828019545271,106.0
row,all_usable_rows,forrt_fred,economics,replication_target_original_claim,published_original_claims_selected_for_replication,15,-0.4075001761555127,0.53897115305579,0.0643327056555004,2.5995216975282973e-05,0.7552842961767762,0.3960237010497315,393.0
row,all_usable_rows,forrt_fred,sociology,replication_target_original_claim,published_original_claims_selected_for_replication,14,-0.5625867375581932,1.1001464521535422,0.1981198531325779,0.014906992843617142,0.40189863576076545,0.5893955130531064,1681.0
row,all_usable_rows,forrt_fred,Evolutionary Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,12,-0.5045368722437076,0.6794392900128416,0.06918606654505165,2.6243464787089115e-05,0.8417221276470261,0.5601210780334355,35.5
row,all_usable_rows,forrt_fred,education,replication_target_original_claim,published_original_claims_selected_for_replication,12,-0.4810373380566484,0.8033923753896055,0.06181924344931914,1.499717699057274e-05,0.8582554508633291,0.15220139976007996,9341.0
row,all_usable_rows,forrt_fred,Clinical Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,8,-0.7407049810049278,1.4749170221260932,0.19570992164380013,0.009129815286265677,0.7047827779235974,0.1576381933537199,1068.0
row,all_usable_rows,forrt_fred,Organizational Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,8,-0.010252794077812646,-0.349505525914033,0.07597910720430151,0.8970705744195959,0.0030257204571180196,0.4208832278787158,97.0
row,all_usable_rows,forrt_fred,health,replication_target_original_claim,published_original_claims_selected_for_replication,5,-0.5420149678523442,1.042882364810417,0.4213157313024698,0.2885641197789372,0.35553654592899375,0.1265694939137127,4409.0
row,all_usable_rows,forrt_fred,Consumer Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,4,,,,,,0.40201512610368484,104.0
row,all_usable_rows,forrt_fred,Consumer Research,replication_target_original_claim,published_original_claims_selected_for_replication,4,,,,,,0.6574054199290261,68.0
row,all_usable_rows,forrt_fred,psychology_replication,replication_target_original_claim,published_original_claims_selected_for_replication,4,-0.6466396874479297,0.9805991178142424,0.11766392791108359,0.031551566605455134,0.9378923681443486,0.3928042963066929,172.0
row,all_usable_rows,forrt_fred,Cognitive psychology,replication_target_original_claim,published_original_claims_selected_for_replication,3,-0.8811651687054967,1.4684573763420885,0.8200955935704606,0.4771572860959531,0.5358504618065301,0.42,140.0
row,all_usable_rows,forrt_fred,Gender Stereotypes,replication_target_original_claim,published_original_claims_selected_for_replication,3,,,,,,0.4082482904638631,165.0
row,all_usable_rows,forrt_fred,Human Genetics,replication_target_original_claim,published_original_claims_selected_for_replication,3,,,,,,1.1464562082685321,383.0
row,all_usable_rows,forrt_fred,management,replication_target_original_claim,published_original_claims_selected_for_replication,3,0.9013023433332971,-2.7011311899866577,1.1121038453992176,0.5664114587156918,0.3964363074898871,0.3339324291590352,353.0
row,all_usable_rows,forrt_fred,Law,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.43488016159208487,78.0
row,all_usable_rows,forrt_fred,Psychopathology,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.6111958115490164,51.5
row,all_usable_rows,forrt_fred,Social/cognitive psychology,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.6368221048378526,46.0
row,all_usable_rows,forrt_fred,Sports Science,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.9045767114330592,17.0
row,all_usable_rows,forrt_fred,Animal Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,1.8340426038080408,18.0
row,all_usable_rows,forrt_fred,Health Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,0.831587915700115,54.0
row,all_usable_rows,forrt_fred,criminology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,0.2304555964698569,813.0
row,published_original_candidates,metabus_open_bosco,io_psychology_management,published_original_journal_correlation_matrix,published_jap_personnel_psychology,169135,-0.1197131584133559,-0.2273691601607268,0.002289620712524593,0.0,0.015906142052842576,0.3450221204771904,224.0
row,published_original_candidates,szucs_ioannidis_2017,cognitive_neuroscience_psychology,published_original_journal_test_statistics,published_18_journals,26796,-0.4980211629441837,0.6596443170169595,0.006982512145333869,0.0,0.15956535120587423,1.0744330228016885,21.0
row,published_original_candidates,economics_brodeur_2024,economics,published_economics_extracted_tests,published_top_journal_economics_tables,10071,-0.44876710193419483,0.21890340289633178,0.007277634004366211,0.0,0.2741197110392518,0.06083993020996478,2050.0
row,published_original_candidates,havranek_armington,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,1383,-0.3462895006399823,0.48966703349191903,0.02631074212183073,2.338815019646378e-37,0.11145469098047345,0.6543182313111007,122.0
row,published_original_candidates,motyl_2017_critical_tests,psychology_social_personality,published_original_article_critical_hypothesized_test,sampled_social_personality_journal_articles,1305,-0.30968969997381773,0.40612456374846695,0.014709874773808368,6.270158651497208e-85,0.2538238902005129,0.59,90.0
row,published_original_candidates,metalab,developmental_psychology,meta_analysis_curated_primary_studies,peer_reviewed_flag_available,894,-0.7058566694398797,0.49798865074065735,0.056065515071209174,1.4252412092704102e-33,0.15088411613001063,0.31,24.0
row,published_original_candidates,score_cos_claims,psychology and health,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,855,-0.35343460200058585,0.45780034047342466,0.012033806142028737,1.4318329911138354e-131,0.5027993835409315,0.46,183.0
row,published_original_candidates,button_nord_neuroscience,neuroscience,published_meta_analysis_primary_studies,published_primary_studies,688,-0.40408512516763323,0.24576142620623567,0.0251416529253377,1.4345843392939214e-49,0.2735513578372014,0.21262686955169954,100.0
row,published_original_candidates,schaefer_schwarz_2019_without_prereg,psychology,published_original_psychology_article_key_effect,random_sample_psychology_articles,682,-0.31629654119816825,0.4810699413225244,0.022738357525376892,6.839515746910317e-39,0.22151853402236943,0.7717436331412897,68.5
row,published_original_candidates,forrt_fred,Social Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,616,-0.4779051518591344,0.7157247334368076,0.02599744562265526,1.8525024438114949e-60,0.35499212211011955,0.597,91.5
row,published_original_candidates,score_cos_claims,business,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,603,-0.4466017746525887,0.5981866560813545,0.011056664418412288,2.083924088859107e-173,0.7307975886601412,0.29314342026818474,265.0
row,published_original_candidates,havranek_eis,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,566,-0.5270640434430928,0.5616482321264303,0.01933559852834086,5.194150516212802e-105,0.5684902653580038,0.06398418757666545,333.0
row,published_original_candidates,havranek_substitution,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,566,-0.5270640434430928,0.5616482321264303,0.01933559852834086,5.194150516212802e-105,0.5684902653580038,0.06398418757666545,333.0
row,published_original_candidates,kuhberger_2014_main_results,psychology,published_original_psychology_article_main_result,random_sample_psychology_articles,472,-0.3814719834415922,0.613388767778754,0.027115756463562082,9.13942699185847e-38,0.2963191502978858,0.7228785,94.0
row,published_original_candidates,score_cos_claims,sociology and criminology,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,458,-0.4041743059537135,0.5301713375161629,0.01577514643072976,2.3967433229351886e-90,0.5900877831723947,0.1537004375569701,1977.0
row,published_original_candidates,score_cos_claims,political science,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,411,-0.4581011935351732,0.616203074457072,0.012246346933303155,4.334732239335752e-134,0.7738202703395531,0.18963517393280951,718.0
row,published_original_candidates,forrt_fred,Cognitive Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,406,-0.30869362108125914,0.3985299440284797,0.03734520976255322,2.0155514810726452e-15,0.14465842177874633,0.7716826952758795,39.5
row,published_original_candidates,yun_llm_meta_analysis,medicine_rct,published_original_rct_fulltext,published_pmc_rct,401,-0.4569646479604171,0.36640899837630053,0.052073086675227254,5.026198027369429e-17,0.16177964255970279,0.3110596148358946,71.0
row,published_original_candidates,score_cos_claims,education,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,373,-0.424426409130134,0.608386371473907,0.014364536108185269,1.6676029877169022e-99,0.7017720278832303,0.3930864909404275,212.0
row,published_original_candidates,havranek_frisch_extensive,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,367,-0.41154105764699306,0.9733698346918742,0.028785025496476272,3.933990077031304e-37,0.3589808286669336,0.15617434809014344,33302.0
row,published_original_candidates,clinifact_published_primary_pairs,medicine_rct,published_trial_result_registry_linked_primary_outcome,published_trial_reports_linked_to_ctgov_primary_outcomes,339,-0.5049240404884919,0.6040387433596061,0.03716301747778506,7.859509299499208e-34,0.3539102330823266,0.3307103797270649,215.0
row,published_original_candidates,havranek_gasoline_income,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,286,-0.6559322983787417,1.1615424922608946,0.050819634911070714,2.644354064021298e-30,0.3697184938494412,3.9485421871273156,15.0
row,published_original_candidates,olsson_sundell_2023_social_interventions,social_intervention_research,published_original_article_effectiveness_result,published_swedish_social_intervention_articles,250,-0.4521033773411346,0.4422755006566728,0.0754369515058075,7.212971893359804e-09,0.12650711053440367,0.4305,89.0
row,published_original_candidates,score_cos_claims,psychology and health,score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,219,-0.31158688321966427,0.38944276567773245,0.037006196853488445,5.137978570740194e-15,0.24625033196797252,0.5282905536642777,174.0
row,published_original_candidates,score_cos_claims,economics and finance,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,193,-0.4871822132311037,0.7262283208755128,0.013271147725797483,1.8075490436646525e-88,0.8758623939328594,0.21735128678763987,599.0
row,published_original_candidates,score_cos_claims,political science,score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,192,-0.20566069644443558,0.05591740301020186,0.03306878203277848,3.1090505019950805e-09,0.1691381003167589,0.31433030316641253,434.0
row,published_original_candidates,score_cos_claims,economics and finance,score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,182,-0.47635343515768114,0.6507607970511361,0.05486321233367533,2.2896617591800804e-15,0.29518714895578035,0.11035923755259046,2684.5
row,published_original_candidates,esarey_wu_2016_political_science_main_findings,political_science,published_article_author_coded_main_finding,sampled_political_science_journal_main_findings,167,-0.4132163894568975,0.5669330267448238,0.02437108821889992,5.561065880492124e-38,0.6353417170052775,0.23328473740792172,722.0
row,published_original_candidates,linden_2024_focal_effects,psychology,published_original_psychology_article_focal_effect,random_sample_psychology_articles,158,-0.3203316598116353,0.4049670257989232,0.04456483712594622,2.557623909158711e-11,0.24879814336991168,0.63,83.5
row,published_original_candidates,rpcb_cancer_biology,preclinical_cancer_biology,published_original_preclinical,original_published_vs_registered_replication,135,-0.6941144670656012,1.1439432410065997,0.06373142624440918,3.8515130160156387e-20,0.47142344221529475,2.485944,10.0
row,published_original_candidates,forrt_fred,Marketing,replication_target_original_claim,published_original_claims_selected_for_replication,118,-0.4778130012157308,0.6746454527093155,0.10220964801902126,8.002158676869394e-06,0.15853040797935558,0.4457075662346724,171.0
row,published_original_candidates,forrt_fred,Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,102,-0.54483689076661,0.9415375056689389,0.07683387706095997,1.9270834278369863e-10,0.334591989774635,0.6589194846399686,81.5
row,published_original_candidates,schaefer_schwarz_2019_with_prereg,psychology,published_original_psychology_article_key_effect,sampled_preregistered_psychology_articles,89,-0.28726207153532285,0.1689225138119713,0.0846359207924592,0.0010388002734749158,0.11692930045622107,0.3267662477951968,268.0
row,published_original_candidates,score_cos_claims,sociology and criminology,score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,83,-0.3592811789735411,0.46194130116632226,0.067197073036161,8.08724475504063e-07,0.2608610735736826,0.17827666746515522,1663.0
row,published_original_candidates,forrt_fred,Economics,replication_target_original_claim,published_original_claims_selected_for_replication,81,-0.47781595375919145,0.40109782097789737,0.0629364911924215,5.4098693425983366e-11,0.4218340648663329,0.2862032559498779,324.0
row,published_original_candidates,dellavigna_linos_2022,economics_nudge,published_original_rct_journal,published_academic_journals,73,-0.5210178399233004,0.6836613461551526,0.06320011077098901,5.900460503242796e-12,0.48907088631998175,0.11433418105199661,1071.5
row,published_original_candidates,forrt_fred,Experimental Philosophy,replication_target_original_claim,published_original_claims_selected_for_replication,73,-0.22239925888271547,0.23443107786927408,0.06426797548451044,0.0009163317552587936,0.1443211217640593,0.5909513763026629,134.0
row,published_original_candidates,score_cos_claims,business,score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,68,-0.42538722766184156,0.6233056504886478,0.05238070956079404,1.6076518178523613e-11,0.4998170608107898,0.4005738829987837,190.5
row,published_original_candidates,forrt_fred,Management,replication_target_original_claim,published_original_claims_selected_for_replication,60,-0.47080580068340633,0.654665876842076,0.023949005754401946,2.5107253526809195e-27,0.869505634309668,0.28550944388136157,485.0
row,published_original_candidates,forrt_fred,Education,replication_target_original_claim,published_original_claims_selected_for_replication,59,-0.3529098432092915,0.30887419528697413,0.06783376413886576,2.7828315358283796e-06,0.32196716300216954,0.2883716321614068,202.0
row,published_original_candidates,forrt_fred,Differential Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,55,-0.4659475318485282,0.655013313258364,0.034194566221663523,5.906743202923761e-19,0.7779432604525482,0.3042093039404859,419.0
row,published_original_candidates,havranek_sigma,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,51,-0.7580657076084111,1.29355969364564,0.11431006109867452,2.469113971307436e-08,0.47299895695883565,0.9863448638666855,48.0
row,published_original_candidates,forrt_fred,Judgment and Decision Making,replication_target_original_claim,published_original_claims_selected_for_replication,47,-0.6346928805569887,1.081153009695255,0.13363186774667807,2.1074398315102274e-05,0.33390905301746776,0.5897678246195885,108.0
row,published_original_candidates,score_cos_claims,education,score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,47,-0.3938738950317581,0.5673748799629114,0.05186580539039321,1.3520613091343636e-09,0.5617037846733314,0.14611900125320157,1200.0
row,published_original_candidates,forrt_fred,Linguistics,replication_target_original_claim,published_original_claims_selected_for_replication,44,0.31608981649305573,-0.7267723163082447,0.36714676647501104,0.3941618031906279,0.017341824024655006,0.7230276665825004,49.5
row,published_original_candidates,forrt_fred,Neuroscience,replication_target_original_claim,published_original_claims_selected_for_replication,38,-0.22368539089448258,0.18012713170675398,0.10860185717853443,0.04671582285281065,0.10541878599430221,0.7543904893841147,27.0
row,published_original_candidates,forrt_fred,psychology,replication_target_original_claim,published_original_claims_selected_for_replication,36,-0.44582336620402074,0.6503467831496959,0.054012060851753044,1.2432199324840077e-09,0.6670939119667348,0.5549896685959173,107.0
row,published_original_candidates,havranek_frisch_intensive,economics,economics_meta_analysis_primary_estimates,published_flag_when_available,36,-0.11044788417442791,-0.5926911241238995,0.13059947355902626,0.4036331560519263,0.020602132947933005,0.06357566755674655,21852.0
row,published_original_candidates,turner_antidepressants_2022,medicine_psychiatry,journal_publication,published_journal,35,0.18072010357056975,-1.0490666117584504,0.3666512104446744,0.6253515499312553,0.007308145843980318,0.294599,397.0
row,published_original_candidates,forrt_fred,Developmental Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,34,-0.5937514924675287,0.7570105451645085,0.13993748707596596,0.00017614139395662456,0.3600364906504404,0.7448299522055875,54.0
row,published_original_candidates,dellavigna_linos_2022,economics_nudge,nudge_unit_trial_report,mixed_published_unpublished_reports,33,-0.17002632805055004,-0.986058023501171,0.08113805772733096,0.044386706849778815,0.12407602120625061,0.015217309665865963,104236.0
row,published_original_candidates,forrt_fred,political science,replication_target_original_claim,published_original_claims_selected_for_replication,21,-0.43652614999046285,0.6994275997785834,0.04706309422833739,1.7431122953216572e-08,0.8191025984851156,0.26904847675437565,4648.0
row,published_original_candidates,forrt_fred,Communication Science,replication_target_original_claim,published_original_claims_selected_for_replication,19,-0.6701534009002488,1.1216860352592795,0.163564986798607,0.0007513051179119562,0.4968448351696322,0.2946084140015401,499.0
row,published_original_candidates,forrt_fred,Medicine,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.45652507324537445,0.535204979873898,0.1407723260534791,0.005461041839704826,0.4121581759521421,0.375,192.0
row,published_original_candidates,forrt_fred,Political Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.27606184866019345,0.35317315336485616,0.18614100141353926,0.15875856535705085,0.12788283798827427,0.4796421590908131,214.0
row,published_original_candidates,forrt_fred,marketing/org behavior,replication_target_original_claim,published_original_claims_selected_for_replication,17,-0.24635790548264147,0.20803738185734913,0.12584274017889346,0.06914041682362233,0.20350253084772063,0.5003828019545271,106.0
row,published_original_candidates,forrt_fred,economics,replication_target_original_claim,published_original_claims_selected_for_replication,15,-0.4075001761555127,0.53897115305579,0.0643327056555004,2.5995216975282973e-05,0.7552842961767762,0.3960237010497315,393.0
row,published_original_candidates,forrt_fred,sociology,replication_target_original_claim,published_original_claims_selected_for_replication,14,-0.5625867375581932,1.1001464521535422,0.1981198531325779,0.014906992843617142,0.40189863576076545,0.5893955130531064,1681.0
row,published_original_candidates,forrt_fred,Evolutionary Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,12,-0.5045368722437076,0.6794392900128416,0.06918606654505165,2.6243464787089115e-05,0.8417221276470261,0.5601210780334355,35.5
row,published_original_candidates,forrt_fred,education,replication_target_original_claim,published_original_claims_selected_for_replication,12,-0.4810373380566484,0.8033923753896055,0.06181924344931914,1.499717699057274e-05,0.8582554508633291,0.15220139976007996,9341.0
row,published_original_candidates,forrt_fred,Clinical Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,8,-0.7407049810049278,1.4749170221260932,0.19570992164380013,0.009129815286265677,0.7047827779235974,0.1576381933537199,1068.0
row,published_original_candidates,forrt_fred,Organizational Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,8,-0.010252794077812646,-0.349505525914033,0.07597910720430151,0.8970705744195959,0.0030257204571180196,0.4208832278787158,97.0
row,published_original_candidates,forrt_fred,health,replication_target_original_claim,published_original_claims_selected_for_replication,5,-0.5420149678523442,1.042882364810417,0.4213157313024698,0.2885641197789372,0.35553654592899375,0.1265694939137127,4409.0
row,published_original_candidates,forrt_fred,Consumer Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,4,,,,,,0.40201512610368484,104.0
row,published_original_candidates,forrt_fred,Consumer Research,replication_target_original_claim,published_original_claims_selected_for_replication,4,,,,,,0.6574054199290261,68.0
row,published_original_candidates,forrt_fred,psychology_replication,replication_target_original_claim,published_original_claims_selected_for_replication,4,-0.6466396874479297,0.9805991178142424,0.11766392791108359,0.031551566605455134,0.9378923681443486,0.3928042963066929,172.0
row,published_original_candidates,forrt_fred,Cognitive psychology,replication_target_original_claim,published_original_claims_selected_for_replication,3,-0.8811651687054967,1.4684573763420885,0.8200955935704606,0.4771572860959531,0.5358504618065301,0.42,140.0
row,published_original_candidates,forrt_fred,Gender Stereotypes,replication_target_original_claim,published_original_claims_selected_for_replication,3,,,,,,0.4082482904638631,165.0
row,published_original_candidates,forrt_fred,Human Genetics,replication_target_original_claim,published_original_claims_selected_for_replication,3,,,,,,1.1464562082685321,383.0
row,published_original_candidates,forrt_fred,management,replication_target_original_claim,published_original_claims_selected_for_replication,3,0.9013023433332971,-2.7011311899866577,1.1121038453992176,0.5664114587156918,0.3964363074898871,0.3339324291590352,353.0
row,published_original_candidates,forrt_fred,Law,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.43488016159208487,78.0
row,published_original_candidates,forrt_fred,Psychopathology,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.6111958115490164,51.5
row,published_original_candidates,forrt_fred,Social/cognitive psychology,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.6368221048378526,46.0
row,published_original_candidates,forrt_fred,Sports Science,replication_target_original_claim,published_original_claims_selected_for_replication,2,,,,,,0.9045767114330592,17.0
row,published_original_candidates,forrt_fred,Animal Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,1.8340426038080408,18.0
row,published_original_candidates,forrt_fred,Health Psychology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,0.831587915700115,54.0
row,published_original_candidates,forrt_fred,criminology,replication_target_original_claim,published_original_claims_selected_for_replication,1,,,,,,0.2304555964698569,813.0
